requirement_id,decision_gates,business_rules,operation_ids,data_contracts,acceptance_criteria,tasks,automated_tests,status
REQ-C2-RANK,,BR-C2-005|BR-C2-010|BR-C2-015|BR-C2-030|BR-C2-031,rankRecommendationsInternal,CandidateSet|RecommendationItem|ServingSnapshot,AC-C2-002|AC-C2-003|AC-C2-011,TASK-C2-004|TASK-C2-006,TEST-REC-C2-CORE|TEST-API-C2-CONTRACT,APPROVED_C2A
REQ-C2-UUID,,BR-C2-002|BR-C2-003|BR-C2-011,rankRecommendationsInternal,CandidateSet|ItemIdMapping,AC-C2-001|AC-C2-005|AC-C2-018|AC-C2-019,TASK-C2-004|TASK-C2-007,TEST-REC-C2-CORE|TEST-BE-C2-ADAPTER,APPROVED_C2A_IMPLEMENTED
REQ-C2-ARTIFACT,,BR-C2-020|BR-C2-021|BR-C2-022|BR-C2-023|BR-C2-025,getRecommenderReadiness,ArtifactMetadata|HeadCalibrationBundle|ItemIdMapping|ReadinessResponse,AC-C2-006|AC-C2-007|AC-C2-008|AC-C2-009,TASK-C2-002|TASK-C2-003,TEST-REC-C2-CORE|TEST-API-C2-CONTRACT,APPROVED_C2A
REQ-C2-STAR,DN-C2-001|DN-C2-002|DN-C2-008,BR-C2-032|BR-C2-033|BR-C2-034|BR-C2-035|BR-C2-036|BR-C2-037,rankRecommendationsInternal,ExpectedStar|PreferenceInput,AC-C2-012|AC-C2-013|AC-C2-014|AC-C2-015|AC-C2-020|AC-C2-032,TASK-C2-005,TEST-REC-C2-CORE|TEST-API-C2-CONTRACT,DRAFT_BLOCKED
REQ-C2-REASON,DN-C2-003,BR-C2-040|BR-C2-041,rankRecommendationsInternal,RecommendationReason,AC-C2-016|AC-C2-017,TASK-C2-010,TEST-API-C2-CONTRACT,DRAFT_BLOCKED
REQ-C2-FAILURE,DN-C2-005,BR-C2-050|BR-C2-051|BR-C2-052|BR-C2-053|BR-C2-054|BR-C2-055,rankRecommendationsInternal,RecommendationIssue|InternalErrorResponse,AC-C2-004|AC-C2-005|AC-C2-018|AC-C2-019|AC-C2-020|AC-C2-021|AC-C2-022,TASK-C2-004|TASK-C2-007|TASK-C2-011,TEST-API-C2-CONTRACT|TEST-BE-C2-ADAPTER|TEST-PERF-C2,APPROVED_C2A_PARTIAL_IMPLEMENTED
REQ-C2-SNAPSHOT,,BR-C2-042|BR-C2-043|BR-C2-044|BR-C2-062,rankRecommendationsInternal,ServingSnapshot|RecommendationExposureBatch|RecommendationExposureItem,AC-C2-027|AC-C2-028|AC-C2-029,TASK-C2-009,TEST-BE-C2-SNAPSHOT,APPROVED_C2A_IMPLEMENTED
REQ-C2-HEALTH,,BR-C2-024|BR-C2-025|BR-C2-061,getRecommenderLiveness|getRecommenderReadiness,LivenessResponse|ReadinessResponse,AC-C2-006|AC-C2-009|AC-C2-010,TASK-C2-003,TEST-API-C2-CONTRACT,APPROVED_C2A
REQ-C2-C1-INPUT,,BR-C2-012|BR-C2-013|BR-C2-014|BR-C2-055,rankRecommendationsInternal,PreferenceInput|DOMAIN_OUTBOX|RATING,AC-C2-022|AC-C2-023|AC-C2-024|AC-C2-025|AC-C2-026,TASK-C2-008,TEST-BE-C2-OUTBOX,APPROVED_C2A
REQ-C2-BATCH,,BR-C2-010|BR-C2-011,rankRecommendationsInternal,CandidateSetArtifact|CandidateStorePointer|CandidateSet,AC-C2-033|AC-C2-034|AC-C2-035|AC-C2-036|AC-C2-037,TASK-C2-006,TEST-REC-C2-CORE,APPROVED_C2A_IMPLEMENTED
NFR-C2-SECURITY,DN-C2-004,BR-C2-001|BR-C2-004|BR-C2-056|BR-C2-060,rankRecommendationsInternal|getRecommenderLiveness|getRecommenderReadiness,serviceAuth|InternalErrorResponse,AC-C2-030|AC-C2-031,TASK-C2-001|TASK-C2-007|TASK-C2-012,TEST-SEC-C2,DRAFT_BLOCKED
