requirement_id,decision_ids,business_rule_ids,scenario_ids,screen_ids,operation_ids,entities,acceptance_ids,task_ids,test_ids,status
FR-01,DN-C4A-001|DN-C4A-002|DN-C4A-003,BR-C4A-001|BR-C4A-002|BR-C4A-003|BR-C4A-004|BR-C4A-010|BR-C4A-011|BR-C4A-013|BR-C4A-014|BR-C4A-017|BR-C4A-018|BR-C4A-020|BR-C4A-022|BR-C4A-023|BR-C4A-025|BR-C4A-030|BR-C4A-031|BR-C4A-032|BR-C4A-033|BR-C4A-034,SCN-C4A-001|SCN-C4A-002|SCN-C4A-006,SCR-C4A-001|SCR-C4A-002|SCR-C4A-003|SCR-C4A-007,createEmailSignup|verifySignupEmail|resendSignupEmailVerification|loginWithEmail|refreshAuthentication|logoutCurrentSession|getMyMembership,USER_ACCOUNT|EMAIL_CREDENTIAL|EMAIL_SIGNUP_PUBLIC_FLOW|EMAIL_VERIFICATION_CHALLENGE|AUTH_SESSION|AUTH_REFRESH_TOKEN|IDEMPOTENCY_RECORD,AC-C4A-001|AC-C4A-002|AC-C4A-003|AC-C4A-004|AC-C4A-005|AC-C4A-008|AC-C4A-010|AC-C4A-011|AC-C4A-012|AC-C4A-013|AC-C4A-014|AC-C4A-015|AC-C4A-016|AC-C4A-017|AC-C4A-018|AC-C4A-019|AC-C4A-047|AC-C4A-048|AC-C4A-050|AC-C4A-051|AC-C4A-052|AC-C4A-057|AC-C4A-059|AC-C4A-060|AC-C4A-061|AC-C4A-062|AC-C4A-063|AC-C4A-064|AC-C4A-065|AC-C4A-066|AC-C4A-069|AC-C4A-070|AC-C4A-071|AC-C4A-072|AC-C4A-073|AC-C4A-074|AC-C4A-075|AC-C4A-076,TASK-C4A-002|TASK-C4A-003|TASK-C4A-004|TASK-C4A-005|TASK-C4A-006|TASK-C4A-010|TASK-C4A-012|TASK-C4A-013,TEST-BE-C4A-MEMBERSHIP|TEST-BE-C4A-AUTH|TEST-FE-C4A-MEMBERSHIP|TEST-E2E-C4A,AUTHORIZED_LOCAL_PROFILE
FR-02,DN-C4A-004,BR-C4A-040|BR-C4A-041|BR-C4A-042|BR-C4A-043|BR-C4A-044|BR-C4A-045|BR-C4A-046|BR-C4A-047,SCN-C4A-003|SCN-C4A-004|SCN-C4A-006,SCR-C4A-004|SCR-C4A-006,listOnboardingMovies|replaceOnboardingPreferences|completeOnboarding,ONBOARDING_JOURNEY|ONBOARDING_PREFERENCE|MOVIE_IDENTITY|DOMAIN_OUTBOX,AC-C4A-023|AC-C4A-024|AC-C4A-025|AC-C4A-026|AC-C4A-027|AC-C4A-028|AC-C4A-029|AC-C4A-030|AC-C4A-031|AC-C4A-032|AC-C4A-033|AC-C4A-035|AC-C4A-036|AC-C4A-053|AC-C4A-054|AC-C4A-056|AC-C4A-058|AC-C4A-059|AC-C4A-060|AC-C4A-068,TASK-C4A-002|TASK-C4A-003|TASK-C4A-007|TASK-C4A-011|TASK-C4A-012|TASK-C4A-013,TEST-BE-C4A-ONBOARDING|TEST-FE-C4A-ONBOARDING|TEST-E2E-C4A,AUTHORIZED_LOCAL_PROFILE
FR-03,DN-C4A-001,BR-C4A-050|BR-C4A-051|BR-C4A-052|BR-C4A-053,SCN-C4A-005,SCR-C4A-005,listOttProviders|getMyOttSubscriptions|replaceMyOttSubscriptions,OTT_SUBSCRIPTION_SET|USER_OTT_SUBSCRIPTION|OTT_PROVIDER,AC-C4A-037|AC-C4A-038|AC-C4A-039|AC-C4A-040|AC-C4A-041|AC-C4A-042|AC-C4A-043|AC-C4A-055|AC-C4A-058|AC-C4A-059|AC-C4A-060,TASK-C4A-002|TASK-C4A-003|TASK-C4A-008|TASK-C4A-011|TASK-C4A-012|TASK-C4A-013,TEST-BE-C4A-OTT|TEST-FE-C4A-ONBOARDING|TEST-E2E-C4A,AUTHORIZED_LOCAL_PROFILE
REQ-C4A-NICKNAME,DN-C4A-002,BR-C4A-030|BR-C4A-035|BR-C4A-071,SCN-C4A-001|SCN-C4A-002,SCR-C4A-001|SCR-C4A-007,createEmailSignup|getMyMembership|updateMyNickname,USER_PROFILE,AC-C4A-001|AC-C4A-005|AC-C4A-020|AC-C4A-021|AC-C4A-022|AC-C4A-050|AC-C4A-057,TASK-C4A-004|TASK-C4A-005|TASK-C4A-010,TEST-BE-C4A-MEMBERSHIP|TEST-FE-C4A-MEMBERSHIP,AUTHORIZED_LOCAL_PROFILE
REQ-C4A-SOCIAL,DN-C4A-005,BR-C4A-060|BR-C4A-061|BR-C4A-062|BR-C4A-063,SCN-C4A-007,SCR-C4A-007,,,AC-C4A-044|AC-C4A-046,TASK-C4A-009,TEST-CONTRACT-C4A-SOCIAL-BLOCK,AUTHORIZED_LOCAL_PROFILE
REQ-C4A-BLOCKED-EXTENSIONS,DN-C4A-004|DN-C4A-005,BR-C4A-048|BR-C4A-061|BR-C4A-062|BR-C4A-063,SCN-C4A-003|SCN-C4A-007,,restartOnboarding,SOCIAL_PROVIDER_CAPABILITY|SOCIAL_IDENTITY|SOCIAL_LINK_TRANSACTION,AC-C4A-034|AC-C4A-045|AC-C4A-067,TASK-C4A-007|TASK-C4A-009,TEST-BE-C4A-ONBOARDING|TEST-CONTRACT-C4A-SOCIAL-BLOCK,BLOCKED_EXTENSION
REQ-C4A-EMAIL-SECURITY,DN-C4A-001|DN-C4A-003,BR-C4A-010|BR-C4A-011|BR-C4A-012|BR-C4A-014|BR-C4A-015|BR-C4A-016|BR-C4A-021|BR-C4A-022|BR-C4A-025|BR-C4A-031|BR-C4A-071|BR-C4A-073,SCN-C4A-001|SCN-C4A-006,SCR-C4A-001|SCR-C4A-002|SCR-C4A-003|SCR-C4A-007,createEmailSignup|verifySignupEmail|resendSignupEmailVerification|loginWithEmail|refreshAuthentication|logoutCurrentSession,EMAIL_CREDENTIAL|EMAIL_VERIFICATION_CHALLENGE|AUTH_SESSION|AUTH_REFRESH_TOKEN|DOMAIN_OUTBOX,AC-C4A-002|AC-C4A-006|AC-C4A-007|AC-C4A-009|AC-C4A-010|AC-C4A-011|AC-C4A-012|AC-C4A-013|AC-C4A-014|AC-C4A-017|AC-C4A-022|AC-C4A-046|AC-C4A-047|AC-C4A-048|AC-C4A-051|AC-C4A-061|AC-C4A-062|AC-C4A-063|AC-C4A-064|AC-C4A-065|AC-C4A-066,TASK-C4A-003|TASK-C4A-004|TASK-C4A-005|TASK-C4A-006|TASK-C4A-012,TEST-BE-C4A-SECURITY|TEST-E2E-C4A,AUTHORIZED_LOCAL_PROFILE
NFR-07,DN-C4A-001|DN-C4A-003,BR-C4A-001|BR-C4A-002|BR-C4A-003|BR-C4A-004|BR-C4A-005|BR-C4A-010|BR-C4A-011|BR-C4A-012|BR-C4A-019|BR-C4A-020|BR-C4A-021|BR-C4A-022|BR-C4A-023|BR-C4A-024|BR-C4A-025|BR-C4A-070|BR-C4A-071|BR-C4A-072|BR-C4A-073,SCN-C4A-001|SCN-C4A-002|SCN-C4A-003|SCN-C4A-004|SCN-C4A-005|SCN-C4A-006,SCR-C4A-001|SCR-C4A-002|SCR-C4A-003|SCR-C4A-004|SCR-C4A-005|SCR-C4A-006|SCR-C4A-007,createEmailSignup|verifySignupEmail|resendSignupEmailVerification|loginWithEmail|refreshAuthentication|logoutCurrentSession|getMyMembership|updateMyNickname|listOnboardingMovies|replaceOnboardingPreferences|completeOnboarding|getMyOttSubscriptions|replaceMyOttSubscriptions,USER_ACCOUNT|EMAIL_CREDENTIAL|USER_PROFILE|EMAIL_VERIFICATION_CHALLENGE|AUTH_SESSION|AUTH_REFRESH_TOKEN|ONBOARDING_JOURNEY|ONBOARDING_PREFERENCE|OTT_SUBSCRIPTION_SET|USER_OTT_SUBSCRIPTION|IDEMPOTENCY_RECORD|DOMAIN_OUTBOX,AC-C4A-002|AC-C4A-007|AC-C4A-009|AC-C4A-012|AC-C4A-014|AC-C4A-016|AC-C4A-017|AC-C4A-019|AC-C4A-022|AC-C4A-027|AC-C4A-032|AC-C4A-033|AC-C4A-041|AC-C4A-042|AC-C4A-046|AC-C4A-047|AC-C4A-048|AC-C4A-049|AC-C4A-058|AC-C4A-059|AC-C4A-060|AC-C4A-061|AC-C4A-062|AC-C4A-063|AC-C4A-064|AC-C4A-065|AC-C4A-066|AC-C4A-068,TASK-C4A-002|TASK-C4A-003|TASK-C4A-004|TASK-C4A-005|TASK-C4A-006|TASK-C4A-007|TASK-C4A-008|TASK-C4A-010|TASK-C4A-011|TASK-C4A-012|TASK-C4A-013,TEST-BE-C4A-AUTH|TEST-BE-C4A-SECURITY|TEST-FE-C4A-MEMBERSHIP|TEST-FE-C4A-ONBOARDING|TEST-E2E-C4A,AUTHORIZED_LOCAL_PROFILE
REQ-C4A-DELIVERY,DN-C4A-003,BR-C4A-011|BR-C4A-017|BR-C4A-020|BR-C4A-021|BR-C4A-022|BR-C4A-026|BR-C4A-027|BR-C4A-029,SCN-C4A-001|SCN-C4A-006,SCR-C4A-001|SCR-C4A-002,createEmailSignup|resendSignupEmailVerification|verifySignupEmail,EMAIL_SIGNUP_PUBLIC_FLOW|EMAIL_VERIFICATION_CHALLENGE|VERIFICATION_DELIVERY_MATERIAL|PUBLIC_AUTH_IDEMPOTENCY_RECORD|PUBLIC_AUTH_IDEMPOTENCY_SCOPE_ALIAS|PUBLIC_AUTH_IDEMPOTENCY_REQUEST_HMAC_ALIAS|PENDING_SIGNUP_RECOVERY_ATTEMPT|DOMAIN_OUTBOX,AC-C4A-009|AC-C4A-065|AC-C4A-077|AC-C4A-078|AC-C4A-079|AC-C4A-080|AC-C4A-083|AC-C4A-085,TASK-C4A-003|TASK-C4A-004|TASK-C4A-006|TASK-C4A-012,TEST-BE-C4A-SECURITY|TEST-E2E-C4A,AUTHORIZED_LOCAL_PROFILE
REQ-C4A-AUTH-HARDENING,DN-C4A-001|DN-C4A-003,BR-C4A-020|BR-C4A-028|BR-C4A-029|BR-C4A-032|BR-C4A-034|BR-C4A-036|BR-C4A-037|BR-C4A-038|BR-C4A-039,SCN-C4A-002|SCN-C4A-006,SCR-C4A-003|SCR-C4A-007,loginWithEmail|refreshAuthentication|logoutCurrentSession,AUTH_SESSION|AUTH_REFRESH_TOKEN|IDEMPOTENCY_RECORD,AC-C4A-014|AC-C4A-018|AC-C4A-061|AC-C4A-074|AC-C4A-081|AC-C4A-082|AC-C4A-083|AC-C4A-085,TASK-C4A-003|TASK-C4A-005|TASK-C4A-012|TASK-C4A-013,TEST-BE-C4A-AUTH|TEST-BE-C4A-SECURITY|TEST-E2E-C4A,AUTHORIZED_LOCAL_PROFILE
