family,k,new,reference,metric,users,difference,ci_low,ci_high
increment,10,SUPPORT__FM,BASE__FM,mse,117,0.0032302948117859643,-0.012007478700278799,0.017401220390955686
increment,10,SUPPORT__FM,BASE__FM,pa,71,-0.01625611529090909,-0.07696014281230913,0.006252304124097238
increment,10,CROWD_ITEM__FM,SUPPORT__FM,mse,117,-0.025601167531537582,-0.07237794469574242,0.020810179274398377
increment,10,CROWD_ITEM__FM,SUPPORT__FM,pa,71,0.004431494328409305,-0.07722794051590035,0.10452955208293628
increment,10,CROWD_RESPONSE__FM,CROWD_ITEM__FM,mse,117,-0.04012961424660535,-0.10862229087100306,0.026842600865270412
increment,10,CROWD_RESPONSE__FM,CROWD_ITEM__FM,pa,71,0.06162264493469456,0.0013863301482232887,0.14256861762366424
increment,10,SUPPORT__RIDGE,BASE__RIDGE,mse,117,0.01341726968699413,-0.004349047126342376,0.03742498494751144
increment,10,SUPPORT__RIDGE,BASE__RIDGE,pa,71,-0.012411224691067198,-0.07977426258195293,0.025904190246811905
increment,10,CROWD_ITEM__RIDGE,SUPPORT__RIDGE,mse,117,-0.0348403481629071,-0.09567602169797076,0.026911296795976314
increment,10,CROWD_ITEM__RIDGE,SUPPORT__RIDGE,pa,71,0.0431076964428411,-0.07141485276434693,0.1666192133842599
increment,10,CROWD_RESPONSE__RIDGE,CROWD_ITEM__RIDGE,mse,117,0.046421037149038634,-0.007725102579603019,0.13768247280746287
increment,10,CROWD_RESPONSE__RIDGE,CROWD_ITEM__RIDGE,pa,71,-0.047100960065666275,-0.1305169432486693,0.014283719658727276
increment,10,SUPPORT__GBT,BASE__GBT,mse,117,0.017635264060126846,-0.06746089736795455,0.10284812478269365
increment,10,SUPPORT__GBT,BASE__GBT,pa,71,0.020852201103337152,-0.07891458407662204,0.12043327095084533
increment,10,CROWD_ITEM__GBT,SUPPORT__GBT,mse,117,-0.0234713859428336,-0.13446572356585007,0.07970991189596026
increment,10,CROWD_ITEM__GBT,SUPPORT__GBT,pa,71,0.04971013052948434,-0.05023216260227067,0.16269382432894003
increment,10,CROWD_RESPONSE__GBT,CROWD_ITEM__GBT,mse,117,-0.03637871900738059,-0.11449182344526951,0.030423858462249105
increment,10,CROWD_RESPONSE__GBT,CROWD_ITEM__GBT,pa,71,0.03544656445721577,-0.07032603272149984,0.14527718154872474
reference,10,BASE__FM,ALS,mse,117,0.05309851469625356,-0.23328174791516948,0.3038501970182218
reference,10,BASE__FM,ALS,pa,71,-0.07842819939810966,-0.24730466098860882,0.08238291646989462
reference,10,SUPPORT__FM,ALS,mse,117,0.05632880950803949,-0.23144834012015159,0.31078355830296717
reference,10,SUPPORT__FM,ALS,pa,71,-0.09468431468901876,-0.2704497429694598,0.06994287982220812
reference,10,CROWD_ITEM__FM,ALS,mse,117,0.030727641976501945,-0.2475526148217252,0.2775042808583191
reference,10,CROWD_ITEM__FM,ALS,pa,71,-0.09025282036060946,-0.23265801446425488,0.04511542036542713
reference,10,CROWD_RESPONSE__FM,ALS,mse,117,-0.009401972270103408,-0.25986687676960873,0.22358575032737185
reference,10,CROWD_RESPONSE__FM,ALS,pa,71,-0.028630175425914884,-0.15459468872409235,0.09154024326292333
reference,10,BASE__RIDGE,ALS,mse,117,0.10856317386574457,-0.208174463932436,0.40971155253506514
reference,10,BASE__RIDGE,ALS,pa,71,-0.10273704844902179,-0.26741092906499164,0.058939258605542576
reference,10,SUPPORT__RIDGE,ALS,mse,117,0.12198044355273867,-0.2017925317951853,0.43829533574051566
reference,10,SUPPORT__RIDGE,ALS,pa,71,-0.11514827314008894,-0.2848155801167961,0.05442672181399395
reference,10,CROWD_ITEM__RIDGE,ALS,mse,117,0.08714009538983157,-0.21944778858721808,0.3972969808505662
reference,10,CROWD_ITEM__RIDGE,ALS,pa,71,-0.07204057669724788,-0.2003413724806457,0.04399839107641617
reference,10,CROWD_RESPONSE__RIDGE,ALS,mse,117,0.13356113253887023,-0.18378220252320973,0.5131886346045581
reference,10,CROWD_RESPONSE__RIDGE,ALS,pa,71,-0.11914153676291415,-0.2613026871257061,0.00952350757934283
reference,10,BASE__GBT,ALS,mse,117,0.055177060880515556,-0.2477651657918391,0.355284266970546
reference,10,BASE__GBT,ALS,pa,71,-0.10066287063491013,-0.24224046857497647,0.03376530048772459
reference,10,SUPPORT__GBT,ALS,mse,117,0.07281232494064242,-0.2248737006409026,0.3543688988458318
reference,10,SUPPORT__GBT,ALS,pa,71,-0.07981066953157295,-0.24721139242813292,0.09124383786814164
reference,10,CROWD_ITEM__GBT,ALS,mse,117,0.0493409389978088,-0.20696124611748282,0.3251330334004907
reference,10,CROWD_ITEM__GBT,ALS,pa,71,-0.030100539002088623,-0.1719934832707348,0.10749875578004459
reference,10,CROWD_RESPONSE__GBT,ALS,mse,117,0.012962219990428233,-0.2312188235364142,0.26985730575519506
reference,10,CROWD_RESPONSE__GBT,ALS,pa,71,0.005346025455127148,-0.11463992177050507,0.12588870680638972
increment,30,SUPPORT__FM,BASE__FM,mse,113,0.009096168213109036,-0.018174715829604175,0.04227581186846237
increment,30,SUPPORT__FM,BASE__FM,pa,68,-0.014651992274918249,-0.08089329022888742,0.01977787186919007
increment,30,CROWD_ITEM__FM,SUPPORT__FM,mse,113,-0.020237017755607052,-0.06376574562956214,0.022420958137173007
increment,30,CROWD_ITEM__FM,SUPPORT__FM,pa,68,0.02789729770893265,-0.0532558517735989,0.12423866250969735
increment,30,CROWD_RESPONSE__FM,CROWD_ITEM__FM,mse,113,-0.041074520461007596,-0.1133071847395069,0.02888865711120398
increment,30,CROWD_RESPONSE__FM,CROWD_ITEM__FM,pa,68,0.08419447474695181,-0.0017215135322101972,0.195294572488789
increment,30,SUPPORT__RIDGE,BASE__RIDGE,mse,113,0.026561857577129155,0.006037015689759447,0.05323685628391356
increment,30,SUPPORT__RIDGE,BASE__RIDGE,pa,68,-0.006249843559842313,-0.04805908368799025,0.020398109951122217
increment,30,CROWD_ITEM__RIDGE,SUPPORT__RIDGE,mse,113,-0.03612791811509535,-0.0982819479625672,0.027086282016376324
increment,30,CROWD_ITEM__RIDGE,SUPPORT__RIDGE,pa,68,0.044543734178148754,-0.038490121913506606,0.1295186053108792
increment,30,CROWD_RESPONSE__RIDGE,CROWD_ITEM__RIDGE,mse,113,0.050874626861408936,-0.022748144664324683,0.16045545717602677
increment,30,CROWD_RESPONSE__RIDGE,CROWD_ITEM__RIDGE,pa,68,-0.03633067446440551,-0.12242528030682891,0.0327674159049843
increment,30,SUPPORT__GBT,BASE__GBT,mse,113,0.02961494521236332,-0.053745583547587183,0.12695745255571933
increment,30,SUPPORT__GBT,BASE__GBT,pa,68,-0.027475542941432937,-0.14779029238162056,0.09100388167775163
increment,30,CROWD_ITEM__GBT,SUPPORT__GBT,mse,113,-0.01728884339815802,-0.12720867307300865,0.09230144821632297
increment,30,CROWD_ITEM__GBT,SUPPORT__GBT,pa,68,0.0794482445089858,-0.03774228024338863,0.21136338590433243
increment,30,CROWD_RESPONSE__GBT,CROWD_ITEM__GBT,mse,113,-0.009700890348825972,-0.08294999686116374,0.05374895742246278
increment,30,CROWD_RESPONSE__GBT,CROWD_ITEM__GBT,pa,68,0.03213973472134836,-0.07429326239788749,0.15080885899037416
reference,30,BASE__FM,ALS,mse,113,0.09364237152537778,-0.1284222790770149,0.3145245080931809
reference,30,BASE__FM,ALS,pa,68,-0.047741533943690094,-0.20683613609759446,0.1141245053041722
reference,30,SUPPORT__FM,ALS,mse,113,0.10273853973848684,-0.12437074384050277,0.32174573824823705
reference,30,SUPPORT__FM,ALS,pa,68,-0.06239352621860836,-0.21657126644122926,0.0915889903208205
reference,30,CROWD_ITEM__FM,ALS,mse,113,0.08250152198287979,-0.1310983294248171,0.3078052872550806
reference,30,CROWD_ITEM__FM,ALS,pa,68,-0.034496228509675694,-0.17763646281383108,0.10586297908084563
reference,30,CROWD_RESPONSE__FM,ALS,mse,113,0.04142700152187219,-0.13265542112974082,0.2665257357792457
reference,30,CROWD_RESPONSE__FM,ALS,pa,68,0.04969824623727612,-0.06946231477584498,0.18124909023748728
reference,30,BASE__RIDGE,ALS,mse,113,0.18485861429850767,-0.0703958255709901,0.47096207531979883
