k,feature,rows,rows_present,fraction,meaning
1,DIRECTOR_no_link,482,480,0.995850622406639,no_direct_link
1,CAST_no_link,482,474,0.983402489626556,no_direct_link
1,crowd_rating_rating_covariance,482,0,0.0,nonzero_calculated_response_not_proven_effect
1,crowd_votes_rating_covariance,482,0,0.0,nonzero_calculated_response_not_proven_effect
1,crowd_popularity_rating_covariance,482,0,0.0,nonzero_calculated_response_not_proven_effect
5,DIRECTOR_no_link,461,455,0.9869848156182213,no_direct_link
5,CAST_no_link,461,438,0.9501084598698482,no_direct_link
5,crowd_rating_rating_covariance,461,454,0.9848156182212582,nonzero_calculated_response_not_proven_effect
5,crowd_votes_rating_covariance,461,454,0.9848156182212582,nonzero_calculated_response_not_proven_effect
5,crowd_popularity_rating_covariance,461,454,0.9848156182212582,nonzero_calculated_response_not_proven_effect
10,DIRECTOR_no_link,461,447,0.9696312364425163,no_direct_link
10,CAST_no_link,461,411,0.8915401301518439,no_direct_link
10,crowd_rating_rating_covariance,461,460,0.9978308026030369,nonzero_calculated_response_not_proven_effect
10,crowd_votes_rating_covariance,461,460,0.9978308026030369,nonzero_calculated_response_not_proven_effect
10,crowd_popularity_rating_covariance,461,460,0.9978308026030369,nonzero_calculated_response_not_proven_effect
30,DIRECTOR_no_link,450,416,0.9244444444444444,no_direct_link
30,CAST_no_link,450,345,0.7666666666666667,no_direct_link
30,crowd_rating_rating_covariance,450,449,0.9977777777777778,nonzero_calculated_response_not_proven_effect
30,crowd_votes_rating_covariance,450,449,0.9977777777777778,nonzero_calculated_response_not_proven_effect
30,crowd_popularity_rating_covariance,450,449,0.9977777777777778,nonzero_calculated_response_not_proven_effect
