k,method,cohort,metric,users,mean,ci95_low,ci95_high,users_total,users_valid,observations_total,observations_valid,movies_total,movies_valid,comparable_pairs_total,comparable_pairs_valid,reference_pairs_total,reference_pairs_valid,status
1,ALS,eligible_k,mse,118,1.4763366804760614,1.193677517279379,1.7953661418115965,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,ALS,eligible_k,mae,118,0.97829027046227,0.8731011266229859,1.0883321050383414,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,ALS,eligible_k,pa,72,0.6379298464023437,0.5569386910422661,0.715177824331096,118,72,482,427,317,299,1804,1804,2361,2348,DESCRIPTIVE
1,ALS,eligible_k,als_mae,118,0.0,0.0,0.0,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,ALS,eligible_k,als_order,78,1.0,1.0,1.0,118,78,482,442,317,307,1804,1804,2361,2361,DESCRIPTIVE
1,ALS,eligible_k,outside_scale,118,0.01059322033898305,0.0,0.029661016949152543,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,ALS,common_k30,mse,113,1.4743946141370394,1.1838122349689268,1.8006420080200773,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,ALS,common_k30,mae,113,0.9717366897764999,0.862176891205557,1.0850101505899465,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,ALS,common_k30,pa,68,0.6530344965641997,0.5726911268008058,0.7298224407822469,113,68,450,396,309,289,1651,1651,2137,2124,DESCRIPTIVE
1,ALS,common_k30,als_mae,113,0.0,0.0,0.0,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,ALS,common_k30,als_order,74,1.0,1.0,1.0,113,74,450,411,309,298,1651,1651,2137,2137,DESCRIPTIVE
1,ALS,common_k30,outside_scale,113,0.011061946902654867,0.0,0.030973451327433628,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,BASE__FM,eligible_k,mse,118,0.8093533552464078,0.6502905466700705,0.9836985583910622,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
