k,method,activity,support,metric,users,mean,users_total,users_valid,observations_total,observations_valid,movies_total,movies_valid,comparable_pairs_total,comparable_pairs_valid,reference_pairs_total,reference_pairs_valid,status
1,ALS,0,1_9,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,0,1_9,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,0,1_9,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,0,1_9,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,0,10_49,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,0,10_49,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,0,10_49,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,0,10_49,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,0,50_PLUS,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,0,50_PLUS,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,0,50_PLUS,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,0,50_PLUS,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,1_9,1_9,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,1_9,1_9,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,1_9,1_9,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,1_9,1_9,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,1_9,10_49,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,1_9,10_49,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,1_9,10_49,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,1_9,10_49,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,1_9,50_PLUS,mse,1,1.0800168652062432,1,1,21,21,21,21,140,140,210,210,DESCRIPTIVE_SMALL_N
1,ALS,1_9,50_PLUS,pa,1,0.6357142857142857,1,1,21,21,21,21,140,140,210,210,DESCRIPTIVE_SMALL_N
1,ALS,1_9,50_PLUS,als_mae,1,0.0,1,1,21,21,21,21,140,140,210,210,DESCRIPTIVE_SMALL_N
1,ALS,1_9,50_PLUS,als_order,1,1.0,1,1,21,21,21,21,140,140,210,210,DESCRIPTIVE_SMALL_N
1,ALS,10_29,1_9,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,10_29,1_9,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,10_29,1_9,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,10_29,1_9,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,10_29,10_49,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,10_29,10_49,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,10_29,10_49,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,10_29,10_49,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,10_29,50_PLUS,mse,2,1.3581693546128184,2,2,4,4,3,3,3,3,3,3,DESCRIPTIVE_SMALL_N
1,ALS,10_29,50_PLUS,pa,1,0.0,2,1,4,3,3,3,3,3,3,3,DESCRIPTIVE_SMALL_N
1,ALS,10_29,50_PLUS,als_mae,2,0.0,2,2,4,4,3,3,3,3,3,3,DESCRIPTIVE_SMALL_N
1,ALS,10_29,50_PLUS,als_order,1,1.0,2,1,4,3,3,3,3,3,3,3,DESCRIPTIVE_SMALL_N
1,ALS,30_99,1_9,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,30_99,1_9,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,30_99,1_9,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,30_99,1_9,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,30_99,10_49,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,30_99,10_49,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,30_99,10_49,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,30_99,10_49,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,ALS,30_99,50_PLUS,mse,18,1.7192531891067024,18,18,55,55,45,45,122,122,150,150,DESCRIPTIVE_SMALL_N
1,ALS,30_99,50_PLUS,pa,10,0.7147061347061346,18,10,55,47,45,42,122,122,150,150,DESCRIPTIVE_SMALL_N
1,ALS,30_99,50_PLUS,als_mae,18,0.0,18,18,55,55,45,45,122,122,150,150,DESCRIPTIVE_SMALL_N
1,ALS,30_99,50_PLUS,als_order,10,1.0,18,10,55,47,45,42,122,122,150,150,DESCRIPTIVE_SMALL_N
1,ALS,100_299,1_9,mse,5,2.5009033510207277,5,5,6,6,6,6,0,0,1,1,DESCRIPTIVE_SMALL_N
1,ALS,100_299,1_9,pa,0,,5,0,6,0,6,0,0,0,1,0,NO_DATA
1,ALS,100_299,1_9,als_mae,5,0.0,5,5,6,6,6,6,0,0,1,1,DESCRIPTIVE_SMALL_N
1,ALS,100_299,1_9,als_order,1,1.0,5,1,6,2,6,2,0,0,1,1,DESCRIPTIVE_SMALL_N
1,ALS,100_299,10_49,mse,6,1.0196953015852137,6,6,6,6,6,6,0,0,0,0,DESCRIPTIVE_SMALL_N
1,ALS,100_299,10_49,pa,0,,6,0,6,0,6,0,0,0,0,0,NO_DATA
1,ALS,100_299,10_49,als_mae,6,0.0,6,6,6,6,6,6,0,0,0,0,DESCRIPTIVE_SMALL_N
1,ALS,100_299,10_49,als_order,0,,6,0,6,0,6,0,0,0,0,0,NO_DATA
1,ALS,100_299,50_PLUS,mse,24,1.5617115039385456,24,24,73,73,64,64,266,266,342,342,DESCRIPTIVE_SMALL_N
1,ALS,100_299,50_PLUS,pa,10,0.5798880597014925,24,10,73,57,64,51,266,266,342,340,DESCRIPTIVE_SMALL_N
1,ALS,100_299,50_PLUS,als_mae,24,0.0,24,24,73,73,64,64,266,266,342,342,DESCRIPTIVE_SMALL_N
1,ALS,100_299,50_PLUS,als_order,12,1.0,24,12,73,61,64,55,266,266,342,342,DESCRIPTIVE_SMALL_N
1,ALS,300_PLUS,1_9,mse,25,2.4177107280004857,25,25,55,55,49,49,125,125,153,153,DESCRIPTIVE_SMALL_N
1,ALS,300_PLUS,1_9,pa,8,0.5514508928571429,25,8,55,38,49,37,125,125,153,153,DESCRIPTIVE_SMALL_N
1,ALS,300_PLUS,1_9,als_mae,25,0.0,25,25,55,55,49,49,125,125,153,153,DESCRIPTIVE_SMALL_N
1,ALS,300_PLUS,1_9,als_order,8,1.0,25,8,55,38,49,37,125,125,153,153,DESCRIPTIVE_SMALL_N
1,ALS,300_PLUS,10_49,mse,29,2.0532648079712623,29,29,46,46,37,37,23,23,30,30,DESCRIPTIVE_SMALL_N
1,ALS,300_PLUS,10_49,pa,7,0.5964285714285714,29,7,46,22,37,20,23,23,30,28,DESCRIPTIVE_SMALL_N
1,ALS,300_PLUS,10_49,als_mae,29,0.0,29,29,46,46,37,37,23,23,30,30,DESCRIPTIVE_SMALL_N
1,ALS,300_PLUS,10_49,als_order,9,1.0,29,9,46,26,37,24,23,23,30,30,DESCRIPTIVE_SMALL_N
1,ALS,300_PLUS,50_PLUS,mse,65,1.3111199947973726,65,65,216,216,159,159,442,442,599,599,DESCRIPTIVE
1,ALS,300_PLUS,50_PLUS,pa,33,0.648346190964933,65,33,216,174,159,140,442,442,599,585,DESCRIPTIVE
1,ALS,300_PLUS,50_PLUS,als_mae,65,0.0,65,65,216,216,159,159,442,442,599,599,DESCRIPTIVE
1,ALS,300_PLUS,50_PLUS,als_order,40,1.0,65,40,216,191,159,150,442,442,599,599,DESCRIPTIVE
1,BASE__RIDGE,0,1_9,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__RIDGE,0,1_9,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__RIDGE,0,1_9,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__RIDGE,0,1_9,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__RIDGE,0,10_49,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__RIDGE,0,10_49,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__RIDGE,0,10_49,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__RIDGE,0,10_49,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__RIDGE,0,50_PLUS,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__RIDGE,0,50_PLUS,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__RIDGE,0,50_PLUS,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__RIDGE,0,50_PLUS,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__RIDGE,1_9,1_9,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__RIDGE,1_9,1_9,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
