movieId,tmdb_id,display_title,ml_year,tmdb_year,ml_count,ml_mean_5,tmdb_count,tmdb_mean_10,tmdb_mean_5_rescaled
318,278.0,쇼생크 탈출,1994.0,1994.0,102929,4.404613860039444,31244.0,8.73,4.365
356,13.0,포레스트 검프,1994.0,1994.0,100296,4.052743878120762,30386.0,8.463,4.2315
296,680.0,펄프 픽션,1994.0,1994.0,98409,4.196968773181315,30803.0,8.481,4.2405
2571,603.0,매트릭스,1999.0,1999.0,93808,4.156436551253624,28653.0,8.257,4.1285
593,274.0,양들의 침묵,1991.0,1991.0,90330,4.148367098416916,18441.0,8.345,4.1725
260,11.0,스타워즈 에피소드 4: 새로운 희망,1977.0,1977.0,85010,4.099823550170568,22800.0,8.208,4.104
2959,550.0,파이트 클럽,1999.0,1999.0,77332,4.228779806548388,32796.0,8.437,4.2185
480,329.0,쥬라기 공원,1993.0,1993.0,75233,3.6986229447184082,18295.0,8.0,4.0
527,424.0,쉰들러 리스트,1993.0,1993.0,73849,4.23699034516378,17857.0,8.57,4.285
4993,120.0,반지의 제왕: 반지 원정대,2001.0,2001.0,73122,4.0921336943737865,28283.0,8.445,4.2225
