role,k,activity,item_support,users,movies,rating_pairs,round_rating_instances
validation,0,100_299,ALL,78,3074,7091,21273
validation,0,100_299,0,74,1271,2588,7299
validation,0,100_299,50_PLUS,71,669,2355,6662
validation,1,100_299,ALL,78,3074,7091,21273
validation,1,100_299,0,74,1271,2588,7299
validation,1,100_299,50_PLUS,71,669,2355,6662
validation,5,100_299,ALL,78,3074,7091,21273
validation,5,100_299,0,74,1271,2588,7299
validation,5,100_299,50_PLUS,71,669,2355,6662
validation,10,100_299,ALL,78,3074,7091,21273
validation,10,100_299,0,74,1271,2588,7299
validation,10,100_299,50_PLUS,71,669,2355,6662
validation,30,100_299,ALL,78,3074,7091,21273
validation,30,100_299,0,74,1271,2588,7299
validation,30,100_299,50_PLUS,71,669,2355,6662
validation,0,300_PLUS,ALL,160,21309,37856,113568
validation,0,300_PLUS,0,159,17661,27208,77274
validation,0,300_PLUS,1_9,151,3859,7209,15149
validation,0,300_PLUS,10_49,152,1465,4413,10632
validation,0,300_PLUS,50_PLUS,150,848,3769,10513
validation,1,300_PLUS,ALL,160,21309,37856,113568
validation,1,300_PLUS,0,159,17661,27208,77274
validation,1,300_PLUS,1_9,151,3859,7209,15149
validation,1,300_PLUS,10_49,152,1465,4413,10632
validation,1,300_PLUS,50_PLUS,150,848,3769,10513
validation,5,300_PLUS,ALL,160,21309,37856,113568
validation,5,300_PLUS,0,159,17661,27208,77274
validation,5,300_PLUS,1_9,151,3859,7209,15149
validation,5,300_PLUS,10_49,152,1465,4413,10632
validation,5,300_PLUS,50_PLUS,150,848,3769,10513
validation,10,300_PLUS,ALL,160,21309,37856,113568
validation,10,300_PLUS,0,159,17661,27208,77274
validation,10,300_PLUS,1_9,151,3859,7209,15149
validation,10,300_PLUS,10_49,152,1465,4413,10632
validation,10,300_PLUS,50_PLUS,150,848,3769,10513
validation,30,300_PLUS,ALL,160,21309,37856,113568
validation,30,300_PLUS,0,159,17661,27208,77274
validation,30,300_PLUS,1_9,151,3859,7209,15149
validation,30,300_PLUS,10_49,152,1465,4413,10632
validation,30,300_PLUS,50_PLUS,150,848,3769,10513
validation,0,100_299,1_9,61,864,1301,2898
validation,1,100_299,1_9,61,864,1301,2898
validation,5,100_299,1_9,61,864,1301,2898
validation,10,100_299,1_9,61,864,1301,2898
validation,30,100_299,1_9,61,864,1301,2898
validation,0,30_99,ALL,62,2138,4299,12897
validation,0,30_99,0,57,833,1391,3932
validation,0,30_99,1_9,47,477,565,1218
validation,0,30_99,10_49,54,554,965,2374
validation,0,30_99,50_PLUS,56,620,1885,5373
validation,1,30_99,ALL,62,2138,4299,12897
validation,1,30_99,0,57,833,1391,3932
validation,1,30_99,1_9,47,477,565,1218
validation,1,30_99,10_49,54,554,965,2374
validation,1,30_99,50_PLUS,56,620,1885,5373
validation,5,30_99,ALL,62,2138,4299,12897
validation,5,30_99,0,57,833,1391,3932
validation,5,30_99,1_9,47,477,565,1218
validation,5,30_99,10_49,54,554,965,2374
validation,5,30_99,50_PLUS,56,620,1885,5373
validation,10,30_99,ALL,62,2138,4299,12897
validation,10,30_99,0,57,833,1391,3932
validation,10,30_99,1_9,47,477,565,1218
validation,10,30_99,10_49,54,554,965,2374
validation,10,30_99,50_PLUS,56,620,1885,5373
validation,30,30_99,ALL,62,2138,4299,12897
validation,30,30_99,0,57,833,1391,3932
validation,30,30_99,1_9,47,477,565,1218
validation,30,30_99,10_49,54,554,965,2374
validation,30,30_99,50_PLUS,56,620,1885,5373
validation,0,100_299,10_49,68,809,1793,4414
validation,1,100_299,10_49,68,809,1793,4414
validation,5,100_299,10_49,68,809,1793,4414
validation,10,100_299,10_49,68,809,1793,4414
validation,30,100_299,10_49,68,809,1793,4414
evaluation,0,300_PLUS,ALL,187,13220,35174,60965
evaluation,0,300_PLUS,0,184,9391,21500,36844
evaluation,1,300_PLUS,ALL,187,13220,35174,60965
evaluation,1,300_PLUS,0,184,9391,21500,36844
evaluation,5,300_PLUS,ALL,187,13220,35174,60965
evaluation,5,300_PLUS,0,184,9391,21500,36844
evaluation,10,300_PLUS,ALL,187,13220,35174,60965
evaluation,10,300_PLUS,0,184,9391,21500,36844
evaluation,30,300_PLUS,ALL,187,13220,35174,60965
evaluation,30,300_PLUS,0,184,9391,21500,36844
evaluation,0,300_PLUS,1_9,168,3126,7023,10143
evaluation,0,300_PLUS,10_49,173,1390,4841,7405
evaluation,0,300_PLUS,50_PLUS,176,837,4123,6573
evaluation,1,300_PLUS,1_9,168,3126,7023,10143
evaluation,1,300_PLUS,10_49,173,1390,4841,7405
evaluation,1,300_PLUS,50_PLUS,176,837,4123,6573
evaluation,5,300_PLUS,1_9,168,3126,7023,10143
evaluation,5,300_PLUS,10_49,173,1390,4841,7405
evaluation,5,300_PLUS,50_PLUS,176,837,4123,6573
evaluation,10,300_PLUS,1_9,168,3126,7023,10143
evaluation,10,300_PLUS,10_49,173,1390,4841,7405
evaluation,10,300_PLUS,50_PLUS,176,837,4123,6573
evaluation,30,300_PLUS,1_9,168,3126,7023,10143
evaluation,30,300_PLUS,10_49,173,1390,4841,7405
evaluation,30,300_PLUS,50_PLUS,176,837,4123,6573
evaluation,0,100_299,ALL,89,4821,10366,17306
evaluation,0,100_299,0,86,2529,4414,7173
evaluation,0,100_299,1_9,78,1275,1914,2844
evaluation,0,100_299,10_49,78,841,1944,2936
evaluation,0,100_299,50_PLUS,84,712,2786,4353
evaluation,1,100_299,ALL,89,4821,10366,17306
evaluation,1,100_299,0,86,2529,4414,7173
evaluation,1,100_299,1_9,78,1275,1914,2844
evaluation,1,100_299,10_49,78,841,1944,2936
evaluation,1,100_299,50_PLUS,84,712,2786,4353
evaluation,5,100_299,ALL,89,4821,10366,17306
evaluation,5,100_299,0,86,2529,4414,7173
evaluation,5,100_299,1_9,78,1275,1914,2844
evaluation,5,100_299,10_49,78,841,1944,2936
evaluation,5,100_299,50_PLUS,84,712,2786,4353
evaluation,10,100_299,ALL,89,4821,10366,17306
evaluation,10,100_299,0,86,2529,4414,7173
evaluation,10,100_299,1_9,78,1275,1914,2844
evaluation,10,100_299,10_49,78,841,1944,2936
evaluation,10,100_299,50_PLUS,84,712,2786,4353
evaluation,30,100_299,ALL,89,4821,10366,17306
evaluation,30,100_299,0,86,2529,4414,7173
evaluation,30,100_299,1_9,78,1275,1914,2844
evaluation,30,100_299,10_49,78,841,1944,2936
evaluation,30,100_299,50_PLUS,84,712,2786,4353
evaluation,0,30_99,ALL,24,1699,2786,3824
evaluation,0,30_99,0,24,590,948,1384
evaluation,0,30_99,1_9,18,323,364,435
evaluation,0,30_99,10_49,20,427,610,767
evaluation,0,30_99,50_PLUS,24,432,931,1238
evaluation,1,30_99,ALL,24,1699,2786,3824
evaluation,1,30_99,0,24,590,948,1384
evaluation,1,30_99,1_9,18,323,364,435
evaluation,1,30_99,10_49,20,427,610,767
evaluation,1,30_99,50_PLUS,24,432,931,1238
evaluation,5,30_99,ALL,24,1699,2786,3824
evaluation,5,30_99,0,24,590,948,1384
evaluation,5,30_99,1_9,18,323,364,435
evaluation,5,30_99,10_49,20,427,610,767
evaluation,5,30_99,50_PLUS,24,432,931,1238
evaluation,10,30_99,ALL,24,1699,2786,3824
evaluation,10,30_99,0,24,590,948,1384
evaluation,10,30_99,1_9,18,323,364,435
evaluation,10,30_99,10_49,20,427,610,767
evaluation,10,30_99,50_PLUS,24,432,931,1238
evaluation,30,30_99,ALL,24,1699,2786,3824
evaluation,30,30_99,0,24,590,948,1384
evaluation,30,30_99,1_9,18,323,364,435
evaluation,30,30_99,10_49,20,427,610,767
evaluation,30,30_99,50_PLUS,24,432,931,1238
