role,k,activity,item_support,method,users,mse,mse_users,mse_low,mse_high,mae,mae_users,mae_low,mae_high,pair_accuracy,pair_accuracy_users,pair_accuracy_low,pair_accuracy_high,direct_rate,direct_rate_users,direct_rate_low,direct_rate_high,movies,rating_pairs,round_rating_instances,status,mse_status,mae_status,pair_accuracy_status,direct_rate_status
validation,0,0,ALL,ALS,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,ALL,FM,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,ALL,ALS_FM,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,ALL,RIDGE,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,ALL,GBT,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,0,ALS,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,0,FM,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,0,ALS_FM,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,0,RIDGE,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,0,GBT,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,1_9,ALS,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,1_9,FM,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,1_9,ALS_FM,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,1_9,RIDGE,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,1_9,GBT,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,10_49,ALS,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,10_49,FM,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,10_49,ALS_FM,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,10_49,RIDGE,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,10_49,GBT,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,50_PLUS,ALS,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,50_PLUS,FM,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
validation,0,0,50_PLUS,ALS_FM,0,,0,,,,0,,,,0,,,,0,,,0,0,0,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
