round,axis,a,b,total_variation,max_bin_share_difference
0,user_activity,TRAIN_SELECTED,VALIDATION,0.42008333333333325,0.4200833333333333
0,user_activity,TRAIN_SELECTED,EVALUATION,0.5370833333333334,0.5100833333333333
0,user_activity,VALIDATION,EVALUATION,0.12666666666666662,0.1266666666666666
1,user_activity,TRAIN_SELECTED,VALIDATION,0.42341666666666666,0.4234166666666667
1,user_activity,TRAIN_SELECTED,EVALUATION,0.5389166666666667,0.5134166666666667
1,user_activity,VALIDATION,EVALUATION,0.12666666666666662,0.1266666666666666
2,user_activity,TRAIN_SELECTED,VALIDATION,0.42466666666666664,0.42466666666666675
2,user_activity,TRAIN_SELECTED,EVALUATION,0.5374166666666667,0.5146666666666667
2,user_activity,VALIDATION,EVALUATION,0.12666666666666662,0.1266666666666666
0,rating_row_support,TRAIN_TARGET,VALIDATION_TARGET,0.6419089803401967,0.5979775007107176
0,rating_row_support,TRAIN_TARGET,EVALUATION_TARGET,0.6481714196679252,0.5815136690386291
0,rating_row_support,VALIDATION_TARGET,EVALUATION_TARGET,0.04883805203319974,0.039797593247856505
0,rating_row_year,TRAIN_TARGET,VALIDATION_TARGET,0.38782571130988647,0.3644508365315627
0,rating_row_year,TRAIN_TARGET,EVALUATION_TARGET,0.4836775674072998,0.42126483384161106
0,rating_row_year,VALIDATION_TARGET,EVALUATION_TARGET,0.09585185609741338,0.0700945777869039
0,rating_row_activity,TRAIN_TARGET,VALIDATION_TARGET,0.6554621796694147,0.6554621796694148
0,rating_row_activity,TRAIN_TARGET,EVALUATION_TARGET,0.6452818036595991,0.6452818036595992
0,rating_row_activity,VALIDATION_TARGET,EVALUATION_TARGET,0.07870683812561449,0.07870683812561449
0,rating_row_rating,TRAIN_TARGET,VALIDATION_TARGET,0.2592415098857436,0.13883681711881848
0,rating_row_rating,TRAIN_TARGET,EVALUATION_TARGET,0.2355650807193338,0.1438892892583987
0,rating_row_rating,VALIDATION_TARGET,EVALUATION_TARGET,0.07527102961866217,0.0406967670790951
1,rating_row_support,TRAIN_TARGET,VALIDATION_TARGET,0.6394518023460449,0.5991146489054948
1,rating_row_support,TRAIN_TARGET,EVALUATION_TARGET,0.6074189758482579,0.563168309631545
1,rating_row_support,VALIDATION_TARGET,EVALUATION_TARGET,0.068143889561033,0.06814388956103301
1,rating_row_year,TRAIN_TARGET,VALIDATION_TARGET,0.3884611279765531,0.3633883365315626
1,rating_row_year,TRAIN_TARGET,EVALUATION_TARGET,0.4681422400408127,0.4255600422861452
1,rating_row_year,VALIDATION_TARGET,EVALUATION_TARGET,0.0796811120642596,0.06628053638317899
1,rating_row_activity,TRAIN_TARGET,VALIDATION_TARGET,0.6587955130027481,0.6587955130027482
1,rating_row_activity,TRAIN_TARGET,EVALUATION_TARGET,0.5715541116899249,0.571554111689925
1,rating_row_activity,VALIDATION_TARGET,EVALUATION_TARGET,0.08928744173108069,0.08928744173108069
1,rating_row_rating,TRAIN_TARGET,VALIDATION_TARGET,0.2618261026276245,0.14122223378548518
1,rating_row_rating,TRAIN_TARGET,EVALUATION_TARGET,0.22966872156102255,0.1387337279934599
1,rating_row_rating,VALIDATION_TARGET,EVALUATION_TARGET,0.0864267381552189,0.04188340755805811
2,rating_row_support,TRAIN_TARGET,VALIDATION_TARGET,0.6429986390603636,0.6001096535759249
2,rating_row_support,TRAIN_TARGET,EVALUATION_TARGET,0.6290305214380103,0.5715399160531408
2,rating_row_support,VALIDATION_TARGET,EVALUATION_TARGET,0.040625088460560344,0.037671596093268866
2,rating_row_year,TRAIN_TARGET,VALIDATION_TARGET,0.38981529464321973,0.3670966698648959
2,rating_row_year,TRAIN_TARGET,EVALUATION_TARGET,0.4636248053235169,0.40952653057010713
2,rating_row_year,VALIDATION_TARGET,EVALUATION_TARGET,0.0776471802742313,0.07764718027423129
2,rating_row_activity,TRAIN_TARGET,VALIDATION_TARGET,0.660045513002748,0.6600455130027482
2,rating_row_activity,TRAIN_TARGET,EVALUATION_TARGET,0.6753486242861864,0.6753486242861864
2,rating_row_activity,VALIDATION_TARGET,EVALUATION_TARGET,0.049599983897626494,0.0495999838976265
2,rating_row_rating,TRAIN_TARGET,VALIDATION_TARGET,0.2606117358093381,0.14033681711881849
2,rating_row_rating,TRAIN_TARGET,EVALUATION_TARGET,0.23106592158667227,0.1373394966138091
2,rating_row_rating,VALIDATION_TARGET,EVALUATION_TARGET,0.065833022491705,0.03726537255003809
