round,role,k,users,input_rows,no_supported_input_users,no_input_users,mean_supported_inputs,mean_pre_activity,input_age_days_mean,input_age_days_min,input_age_days_p25,input_age_days_median,input_age_days_p75,input_age_days_p95,input_age_days_max
0,TRAIN,0,2659,0,0,2659,0.0,142.95524633320798,,,,,,,
0,TRAIN,1,2644,2644,0,0,1.0,133.82602118003027,4638.321481998025,0.13791666666666666,1808.5868952546296,4967.73150462963,7021.398356481482,8232.665473958332,8312.379907407407
0,TRAIN,5,2652,13260,0,0,5.0,132.67533936651583,4578.940456288232,0.203125,1910.1861458333333,4841.545405092593,6958.546284722222,8228.595231481482,8347.461168981481
0,TRAIN,10,2489,24890,0,0,10.0,142.27601446364002,4634.7013209896695,1.9841782407407407,1874.5258622685185,4963.949212962963,6984.914256365741,8221.33582175926,8319.201944444445
0,TRAIN,30,1556,46680,0,0,30.0,188.42737789203085,4409.396937439748,1.3373958333333333,1761.0964265046296,4749.555885416667,6787.207575231481,8200.042859375,8305.273171296296
0,validation,0,300,0,0,300,0.0,555.4533333333334,,,,,,,
0,validation,1,300,300,108,0,0.64,555.4533333333334,413.449646566358,0.009710648148148149,21.143506944444443,105.27346064814814,328.64644386574076,2300.5125219907413,4876.648645833333
0,validation,5,300,1500,3,0,3.4066666666666667,555.4533333333334,452.8072352237655,0.009710648148148149,38.37215856481481,154.52764467592593,403.93391782407406,2349.258869212963,4877.366956018518
0,validation,10,300,3000,0,0,6.906666666666666,555.4533333333334,493.8811503626543,0.009710648148148149,50.88753472222222,191.10624421296296,434.2843373842593,2574.606458912037,4877.368587962963
0,validation,30,300,9000,0,0,21.296666666666667,555.4533333333334,605.7753319958848,0.009710648148148149,99.41535011574074,282.6644039351852,601.9415914351852,2810.1053339120367,4877.416597222223
0,evaluation,0,170,0,0,170,0.0,699.2823529411764,,,,,,,
0,evaluation,1,170,170,60,0,0.6470588235294118,699.2823529411764,366.93407672930283,0.03650462962962963,11.78232638888889,70.7888425925926,308.1162962962963,1955.8928298611095,5398.943912037037
0,evaluation,5,170,850,4,0,3.123529411764706,699.2823529411764,398.86302125544665,0.03650462962962963,23.181712962962962,101.94030092592592,330.7404398148148,1997.5614560185186,5399.1084375
0,evaluation,10,170,1700,0,0,6.4,699.2823529411764,427.0822422385621,0.03650462962962963,35.742268518518514,133.0845486111111,390.72521412037037,2024.281019097207,5399.108773148148
0,evaluation,30,170,5100,0,0,20.18235294117647,699.2823529411764,526.6873940994917,0.03650462962962963,77.42931712962964,222.11354166666666,602.902282986111,2368.354980902779,5399.110451388889
1,TRAIN,0,2638,0,0,2638,0.0,137.71796815769522,,,,,,,
1,TRAIN,1,2624,2624,0,0,1.0,135.46760670731706,4552.291237085027,0.8733912037037037,1823.9573582175926,4798.3586747685185,6958.357965856481,8225.428484375,8351.345729166667
1,TRAIN,5,2644,13220,0,0,5.0,121.34304084720121,4671.992200473995,1.1218402777777778,2097.810662615741,4965.890271990741,7014.886947337963,8224.76164814815,8316.518726851851
1,TRAIN,10,2459,24590,0,0,10.0,144.20252135014235,4524.558872122249,0.9775925925925926,1598.3774131944444,4805.083489583333,6957.030732060185,8225.114394097222,8351.381956018518
