round,role,axis,group,rating_rows,row_share,unique_users,unique_movies
0,TRAIN_R,support,0,0,0.0,0,0
0,TRAIN_R,support,1_9,14306,0.07797290079248285,5562,5306
0,TRAIN_R,support,10_49,32929,0.1794750209838996,9148,1455
0,TRAIN_R,support,50_PLUS,136239,0.7425520782236175,11985,815
0,TRAIN_R,year,UNKNOWN,0,0.0,0,0
0,TRAIN_R,year,BEFORE_2000,126598,0.6900051233417269,11750,3919
0,TRAIN_R,year,2000_2009,42115,0.22954206045543238,7742,2120
0,TRAIN_R,year,2010_2018,14759,0.08044191547576224,3457,1536
0,TRAIN_R,year,2019_PLUS,2,1.0900727078496135e-05,2,1
0,TRAIN_R,activity,0,0,0.0,0,0
0,TRAIN_R,activity,1_9,0,0.0,0,0
0,TRAIN_R,activity,10_29,21635,0.11791861517163195,1872,2937
0,TRAIN_R,activity,30_99,84124,0.45850638237570446,5533,5132
0,TRAIN_R,activity,100_299,55296,0.30138330226626114,3236,5189
0,TRAIN_R,activity,300_PLUS,22419,0.12219170018640244,1359,4750
0,TRAIN_TARGET,support,0,0,0.0,0,0
0,TRAIN_TARGET,support,1_9,8479,0.08832291666666667,4632,4184
0,TRAIN_TARGET,support,10_49,18671,0.19448958333333333,8378,1455
0,TRAIN_TARGET,support,50_PLUS,68850,0.7171875,11887,815
0,TRAIN_TARGET,year,UNKNOWN,0,0.0,0,0
0,TRAIN_TARGET,year,BEFORE_2000,64661,0.6735520833333334,11369,3393
0,TRAIN_TARGET,year,2000_2009,22892,0.23845833333333333,7306,1806
0,TRAIN_TARGET,year,2010_2018,8446,0.08797916666666666,3152,1254
0,TRAIN_TARGET,year,2019_PLUS,1,1.0416666666666666e-05,1,1
0,TRAIN_TARGET,activity,0,0,0.0,0,0
0,TRAIN_TARGET,activity,1_9,0,0.0,0,0
0,TRAIN_TARGET,activity,10_29,14976,0.156,1872,2649
0,TRAIN_TARGET,activity,30_99,44264,0.46108333333333335,5533,4284
0,TRAIN_TARGET,activity,100_299,25888,0.26966666666666667,3236,4110
0,TRAIN_TARGET,activity,300_PLUS,10872,0.11325,1359,3770
0,TRAIN_INPUT,support,0,0,0.0,0,0
0,TRAIN_INPUT,support,1_9,5827,0.06661407961222764,2421,3292
0,TRAIN_INPUT,support,10_49,14258,0.16299700482429064,4357,1454
0,TRAIN_INPUT,support,50_PLUS,67389,0.7703889155634818,8912,815
0,TRAIN_INPUT,year,UNKNOWN,0,0.0,0,0
0,TRAIN_INPUT,year,BEFORE_2000,61937,0.708061824084871,8581,3029
