round,role,rating,rows,share
0,TRAIN_R,0.5,2295,0.012508584322574316
0,TRAIN_R,1.0,5502,0.029987900192942868
0,TRAIN_R,1.5,2072,0.011293153253321997
0,TRAIN_R,2.0,10497,0.057212466071486966
0,TRAIN_R,2.5,5884,0.03206993906493563
0,TRAIN_R,3.0,36448,0.19865485027851357
0,TRAIN_R,3.5,16768,0.0913916958261116
0,TRAIN_R,4.0,51287,0.27953279483741567
0,TRAIN_R,4.5,16337,0.08904258914069568
0,TRAIN_R,5.0,36384,0.1983060270120017
0,TRAIN_TARGET,0.5,1179,0.01228125
0,TRAIN_TARGET,1.0,2956,0.030791666666666665
0,TRAIN_TARGET,1.5,1048,0.010916666666666667
0,TRAIN_TARGET,2.0,5366,0.05589583333333333
0,TRAIN_TARGET,2.5,3051,0.03178125
0,TRAIN_TARGET,3.0,19153,0.19951041666666666
0,TRAIN_TARGET,3.5,8718,0.0908125
0,TRAIN_TARGET,4.0,26971,0.2809479166666667
0,TRAIN_TARGET,4.5,8785,0.09151041666666666
0,TRAIN_TARGET,5.0,18773,0.19555208333333332
0,TRAIN_INPUT,0.5,1116,0.012758076685643735
0,TRAIN_INPUT,1.0,2546,0.029105791435169306
0,TRAIN_INPUT,1.5,1024,0.011706335596863068
0,TRAIN_INPUT,2.0,5131,0.05865742963623477
0,TRAIN_INPUT,2.5,2833,0.03238676635343073
0,TRAIN_INPUT,3.0,17295,0.19771589272240894
0,TRAIN_INPUT,3.5,8050,0.0920273452683083
0,TRAIN_INPUT,4.0,24316,0.27797974255207264
0,TRAIN_INPUT,4.5,7552,0.08633422502686512
0,TRAIN_INPUT,5.0,17611,0.2013283947230034
0,VALIDATION_TARGET,0.5,615,0.01248832392478577
0,VALIDATION_TARGET,1.0,1110,0.022539901717906024
0,VALIDATION_TARGET,1.5,1693,0.034378426674247654
0,VALIDATION_TARGET,2.0,3934,0.07988466068310117
0,VALIDATION_TARGET,2.5,6372,0.1293912195914389
0,VALIDATION_TARGET,3.0,9852,0.20005685740973886
0,VALIDATION_TARGET,3.5,10058,0.204239938269098
0,VALIDATION_TARGET,4.0,8918,0.1810908500182756
0,VALIDATION_TARGET,4.5,3901,0.07921455549689314
0,VALIDATION_TARGET,5.0,2793,0.056715266214514885
0,VALIDATION_INPUT30,0.5,146,0.01622222222222222
0,VALIDATION_INPUT30,1.0,191,0.021222222222222222
0,VALIDATION_INPUT30,1.5,190,0.021111111111111112
0,VALIDATION_INPUT30,2.0,470,0.052222222222222225
0,VALIDATION_INPUT30,2.5,589,0.06544444444444444
0,VALIDATION_INPUT30,3.0,1307,0.14522222222222222
0,VALIDATION_INPUT30,3.5,1677,0.18633333333333332
0,VALIDATION_INPUT30,4.0,2232,0.248
0,VALIDATION_INPUT30,4.5,1227,0.13633333333333333
0,VALIDATION_INPUT30,5.0,971,0.1078888888888889
0,EVALUATION_TARGET,0.5,564,0.02047632878303805
0,EVALUATION_TARGET,1.0,735,0.026684577403427244
0,EVALUATION_TARGET,1.5,708,0.025704327621260528
0,EVALUATION_TARGET,2.0,1853,0.06727417949462677
0,EVALUATION_TARGET,2.5,2443,0.08869445251234388
0,EVALUATION_TARGET,3.0,5747,0.20864798141155969
0,EVALUATION_TARGET,3.5,6224,0.22596572756317165
0,EVALUATION_TARGET,4.0,5892,0.2139122857972698
0,EVALUATION_TARGET,4.5,1955,0.0709773453383677
0,EVALUATION_TARGET,5.0,1423,0.05166279407493465
0,EVALUATION_INPUT30,0.5,103,0.020196078431372548
0,EVALUATION_INPUT30,1.0,99,0.019411764705882354
0,EVALUATION_INPUT30,1.5,105,0.020588235294117647
0,EVALUATION_INPUT30,2.0,287,0.05627450980392157
0,EVALUATION_INPUT30,2.5,337,0.06607843137254903
0,EVALUATION_INPUT30,3.0,782,0.15333333333333332
0,EVALUATION_INPUT30,3.5,998,0.19568627450980391
0,EVALUATION_INPUT30,4.0,1336,0.2619607843137255
0,EVALUATION_INPUT30,4.5,570,0.11176470588235295
0,EVALUATION_INPUT30,5.0,483,0.09470588235294118
1,TRAIN_R,0.5,2565,0.013828686032218412
1,TRAIN_R,1.0,5602,0.03020206594638891
1,TRAIN_R,1.5,1974,0.010642427379180953
1,TRAIN_R,2.0,10534,0.05679196049254922
1,TRAIN_R,2.5,5807,0.031307282568846906
1,TRAIN_R,3.0,36525,0.19691725431843177
1,TRAIN_R,3.5,17136,0.09238532703629423
1,TRAIN_R,4.0,51567,0.2780131979038623
1,TRAIN_R,4.5,16763,0.09037437191348041
1,TRAIN_R,5.0,37011,0.19953742640874686
1,TRAIN_TARGET,0.5,1353,0.01409375
1,TRAIN_TARGET,1.0,2959,0.030822916666666665
1,TRAIN_TARGET,1.5,996,0.010375
1,TRAIN_TARGET,2.0,5463,0.05690625
1,TRAIN_TARGET,2.5,2921,0.030427083333333334
1,TRAIN_TARGET,3.0,18881,0.19667708333333334
1,TRAIN_TARGET,3.5,8807,0.09173958333333333
1,TRAIN_TARGET,4.0,26745,0.27859375
1,TRAIN_TARGET,4.5,8873,0.09242708333333334
1,TRAIN_TARGET,5.0,19002,0.1979375
1,TRAIN_INPUT,0.5,1212,0.01354432077242859
1,TRAIN_INPUT,1.0,2643,0.029536006436904922
1,TRAIN_INPUT,1.5,978,0.010929328148048813
