round,role,users,movies,rows,row_mean_rating,user_mean_rating,timestamp_mean,timestamp_min,timestamp_p25,timestamp_median,timestamp_p75,timestamp_p95,timestamp_max
0,TRAIN_R,12000,7576,183474,3.6739701538092593,3.6782176183648225,1156927145.1579406,825080155.0,946574832.75,1133059411.5,1394134384.5,1512423225.45,1546289540.0
0,TRAIN_TARGET,12000,6454,96000,3.674276041666667,3.674276041666667,1156886691.6676562,825080156.0,945241906.5,1135811545.5,1399117930.25,1514313988.05,1546289540.0
0,TRAIN_INPUT,9341,5561,87474,3.6736344513798387,3.669872961495914,1156971541.6079407,825080155.0,949288958.0,1129914741.5,1389392973.25,1509298784.9,1546288884.0
0,VALIDATION_TARGET,300,22004,49246,3.2430146610892256,3.658433043377996,1603080295.275982,1546305395.0,1567628171.0,1590371510.0,1633575824.25,1681392866.75,1697157090.0
0,VALIDATION_INPUT30,300,3530,9000,3.5618333333333334,3.561833333333333,1493961811.3155556,1124892006.0,1494293046.5,1521878595.5,1537711313.75,1545280659.6,1546299961.0
0,EVALUATION_TARGET,170,11512,27544,3.2819488817891376,3.5565500884994754,1608555345.8120463,1546306875.0,1564336731.0,1603313023.0,1647026164.75,1683938931.75,1697149915.0
0,EVALUATION_INPUT30,170,2886,5100,3.5073529411764706,3.5073529411764706,1500795009.1498039,1079817657.0,1494210042.75,1527110190.0,1539610907.0,1545843325.85,1546297646.0
1,TRAIN_R,12000,7527,185484,3.6754571822906557,3.675538534169291,1159653078.3534374,822873600.0,946607024.0,1138205367.5,1403406577.0,1511413813.7,1546300419.0
1,TRAIN_TARGET,12000,6461,96000,3.6744166666666667,3.6744166666666667,1158292124.6926875,825373571.0,945750158.75,1138387425.0,1402093768.25,1513110618.0,1546300419.0
1,TRAIN_INPUT,9362,5521,89484,3.67657346564749,3.6723207291889195,1161113133.2395847,822873600.0,947713065.5,1138164009.5,1405215088.75,1509299564.1,1546225339.0
1,VALIDATION_TARGET,300,22004,49246,3.2430146610892256,3.658433043377996,1603080295.275982,1546305395.0,1567628171.0,1590371510.0,1633575824.25,1681392866.75,1697157090.0
1,VALIDATION_INPUT30,300,3530,9000,3.5618333333333334,3.561833333333333,1493961811.3155556,1124892006.0,1494293046.5,1521878595.5,1537711313.75,1545280659.6,1546299961.0
1,EVALUATION_TARGET,166,10300,26299,3.3180919426594166,3.6385845257977647,1607526319.616031,1546312424.0,1569700212.0,1595734138.0,1644413378.5,1683510598.7,1697128615.0
1,EVALUATION_INPUT30,166,2631,4980,3.61144578313253,3.61144578313253,1502761054.3425703,1153106579.0,1490425228.0,1524264235.5,1538273190.75,1545777756.55,1546296629.0
2,TRAIN_R,12000,7473,185862,3.680292367455424,3.680717543391063,1154732144.8831391,824741352.0,945248596.25,1132269311.5,1391796740.75,1511480583.0,1546300237.0
2,TRAIN_TARGET,12000,6371,96000,3.6822083333333335,3.6822083333333335,1155187029.8717291,824741352.0,945095312.0,1133306959.5,1394127552.25,1514660661.8,1546300237.0
2,TRAIN_INPUT,9392,5513,89862,3.6782455320380136,3.661845187393526,1154246189.0964367,825638400.0,945751239.0,1131568440.0,1390012557.5,1508874797.1,1546273342.0
2,VALIDATION_TARGET,300,22004,49246,3.2430146610892256,3.658433043377996,1603080295.275982,1546305395.0,1567628171.0,1590371510.0,1633575824.25,1681392866.75,1697157090.0
2,VALIDATION_INPUT30,300,3530,9000,3.5618333333333334,3.561833333333333,1493961811.3155556,1124892006.0,1494293046.5,1521878595.5,1537711313.75,1545280659.6,1546299961.0
2,EVALUATION_TARGET,173,11371,28252,3.269237576100807,3.6137782779251606,1609154967.267875,1546312424.0,1568753814.0,1606005330.5,1643139689.0,1682489382.8,1697149915.0
2,EVALUATION_INPUT30,173,2890,5190,3.558670520231214,3.5586705202312143,1500913492.1863198,1079817657.0,1487388039.5,1525753042.0,1539570348.75,1545971363.4,1546297646.0
