round,role,row_fraction_actual_supported,row_fraction_same_users_full_supported,row_fraction_lost_by_R_sampling,row_fraction_forced_heldout
0,TRAIN_R,1.0,1.0,0.0,0.0
0,TRAIN_TARGET,1.0,1.0,0.0,0.0
0,TRAIN_INPUT,1.0,1.0,0.0,0.0
0,VALIDATION_TARGET,0.40202249928928235,0.5024976647849572,0.10047516549567477,0.1994273646590586
0,VALIDATION_INPUT30,0.7098888888888889,0.7747777777777778,0.06488888888888888,0.20222222222222222
0,EVALUATION_TARGET,0.4355576532094104,0.550682544292768,0.11512489108335754,0.2004429276793494
0,EVALUATION_INPUT30,0.6727450980392157,0.7603921568627451,0.08764705882352941,0.19568627450980391
1,TRAIN_R,1.0,1.0,0.0,0.0
1,TRAIN_TARGET,1.0,1.0,0.0,0.0
1,TRAIN_INPUT,1.0,1.0,0.0,0.0
1,VALIDATION_TARGET,0.4008853510945051,0.4969540673354181,0.09606871624091297,0.1994273646590586
1,VALIDATION_INPUT30,0.709,0.7735555555555556,0.06455555555555556,0.20222222222222222
1,EVALUATION_TARGET,0.46902924065553825,0.5632913799003765,0.0942621392448382,0.20304954561009925
1,EVALUATION_INPUT30,0.7030120481927711,0.778714859437751,0.07570281124497992,0.19156626506024096
2,TRAIN_R,1.0,1.0,0.0,0.0
2,TRAIN_TARGET,1.0,1.0,0.0,0.0
2,TRAIN_INPUT,1.0,1.0,0.0,0.0
2,VALIDATION_TARGET,0.39989034642407506,0.4932380294846282,0.09334768306055315,0.1994273646590586
2,VALIDATION_INPUT30,0.7072222222222222,0.7715555555555556,0.06433333333333334,0.20222222222222222
2,EVALUATION_TARGET,0.4375619425173439,0.5400679597904573,0.10250601727311341,0.20324224833640095
2,EVALUATION_INPUT30,0.6716763005780347,0.7579961464354528,0.08631984585741811,0.197495183044316
