round,stage,activity,k,users,insufficient_users
0,LEGAL_POOL,0,0,1326,1326
0,LEGAL_POOL,0,1,1283,1283
0,LEGAL_POOL,0,5,1218,1218
0,LEGAL_POOL,0,10,1268,1268
0,LEGAL_POOL,0,30,1258,1258
0,LEGAL_POOL,1_9,0,2,2
0,LEGAL_POOL,1_9,1,6,6
0,LEGAL_POOL,1_9,5,6,6
0,LEGAL_POOL,1_9,10,7,7
0,LEGAL_POOL,1_9,30,8,8
0,LEGAL_POOL,10_29,0,1525,0
0,LEGAL_POOL,10_29,1,1467,0
0,LEGAL_POOL,10_29,5,1498,30
0,LEGAL_POOL,10_29,10,1484,518
0,LEGAL_POOL,10_29,30,1463,1463
0,LEGAL_POOL,30_99,0,3488,0
0,LEGAL_POOL,30_99,1,3459,0
0,LEGAL_POOL,30_99,5,3509,0
0,LEGAL_POOL,30_99,10,3494,2
0,LEGAL_POOL,30_99,30,3458,1447
0,LEGAL_POOL,100_299,0,1899,0
0,LEGAL_POOL,100_299,1,1891,0
0,LEGAL_POOL,100_299,5,1903,0
0,LEGAL_POOL,100_299,10,1916,0
0,LEGAL_POOL,100_299,30,1931,0
0,LEGAL_POOL,300_PLUS,0,854,0
0,LEGAL_POOL,300_PLUS,1,766,0
0,LEGAL_POOL,300_PLUS,5,794,0
0,LEGAL_POOL,300_PLUS,10,792,0
0,LEGAL_POOL,300_PLUS,30,747,0
0,ELIGIBLE_POOL,0,0,0,0
0,ELIGIBLE_POOL,0,1,0,0
0,ELIGIBLE_POOL,0,5,0,0
0,ELIGIBLE_POOL,0,10,0,0
0,ELIGIBLE_POOL,0,30,0,0
0,ELIGIBLE_POOL,1_9,0,0,0
0,ELIGIBLE_POOL,1_9,1,0,0
0,ELIGIBLE_POOL,1_9,5,0,0
0,ELIGIBLE_POOL,1_9,10,0,0
0,ELIGIBLE_POOL,1_9,30,0,0
0,ELIGIBLE_POOL,10_29,0,1525,0
0,ELIGIBLE_POOL,10_29,1,1467,0
0,ELIGIBLE_POOL,10_29,5,1468,0
0,ELIGIBLE_POOL,10_29,10,966,0
0,ELIGIBLE_POOL,10_29,30,0,0
0,ELIGIBLE_POOL,30_99,0,3488,0
0,ELIGIBLE_POOL,30_99,1,3459,0
0,ELIGIBLE_POOL,30_99,5,3509,0
0,ELIGIBLE_POOL,30_99,10,3492,0
0,ELIGIBLE_POOL,30_99,30,2011,0
0,ELIGIBLE_POOL,100_299,0,1899,0
