role,round,measure,users,mean,min,p25,median,p75,p95,max
RAW_ALL,-1,pre_all,200948,129.28472540159643,0.0,26.0,55.0,136.0,497.0,22912.0
RAW_ALL,-1,pre_catalog,200948,129.01906961004838,0.0,26.0,55.0,136.0,497.0,22718.0
RAW_ALL,-1,pre_nonheld,200948,101.97932798534944,0.0,20.0,44.0,108.0,391.0,18221.0
RAW_ALL,-1,post_catalog,200948,29.804372275414536,0.0,0.0,0.0,0.0,163.0,10235.0
DEVELOPMENT_ALLOWED,-1,pre_all,57760,129.2343663434903,0.0,26.0,56.0,136.0,494.04999999999563,22912.0
DEVELOPMENT_ALLOWED,-1,pre_catalog,57760,128.96861149584487,0.0,26.0,55.0,136.0,493.04999999999563,22718.0
DEVELOPMENT_ALLOWED,-1,pre_nonheld,57760,101.94039127423822,0.0,20.0,44.0,108.0,389.0,18221.0
DEVELOPMENT_ALLOWED,-1,post_catalog,57760,29.828808864265927,0.0,0.0,0.0,0.0,163.0,10235.0
EVALUATION_POOL,-1,pre_all,3819,277.99162084315265,0.0,97.0,182.0,326.5,908.0,6303.0
EVALUATION_POOL,-1,pre_catalog,3819,277.3896307934014,0.0,97.0,182.0,326.0,902.3999999999996,6263.0
EVALUATION_POOL,-1,pre_nonheld,3819,219.17543859649123,0.0,77.0,143.0,257.0,715.1999999999998,5008.0
EVALUATION_POOL,-1,post_catalog,3819,66.57894736842105,0.0,0.0,0.0,0.0,359.1999999999998,3859.0
VALIDATION,-1,pre_all,300,555.4533333333334,32.0,123.0,319.5,654.75,1527.8500000000001,22912.0
VALIDATION,-1,pre_catalog,300,552.7933333333333,32.0,123.0,319.0,653.75,1521.8000000000002,22718.0
VALIDATION,-1,pre_nonheld,300,440.3666666666667,24.0,100.0,255.5,525.25,1202.4,18221.0
VALIDATION,-1,post_catalog,300,164.15333333333334,2.0,14.75,47.0,126.0,430.35000000000076,10235.0
EVALUATION,-1,pre_all,300,656.2333333333333,38.0,213.75,407.5,911.5,1915.3000000000002,6303.0
EVALUATION,-1,pre_catalog,300,653.5333333333333,38.0,213.75,405.5,909.25,1911.9,6263.0
EVALUATION,-1,pre_nonheld,300,520.0433333333333,27.0,166.5,325.5,726.5,1528.1500000000003,5008.0
EVALUATION,-1,post_catalog,300,161.08666666666667,2.0,20.0,72.0,184.25,677.8000000000011,1681.0
TRAIN_SELECTED,0,pre_all,12000,144.42725,13.0,38.0,71.0,151.0,513.0,7667.0
TRAIN_SELECTED,0,pre_catalog,12000,144.14566666666667,13.0,38.0,71.0,151.0,512.0,7634.0
TRAIN_SELECTED,0,pre_nonheld,12000,113.92366666666666,11.0,30.0,56.0,120.0,403.0499999999993,6093.0
TRAIN_SELECTED,0,post_catalog,12000,4.608333333333333,0.0,0.0,0.0,0.0,0.0,2150.0
TRAIN_SELECTED,1,pre_all,12000,141.827,13.0,38.0,71.0,149.0,488.09999999999854,5649.0
TRAIN_SELECTED,1,pre_catalog,12000,141.54366666666667,13.0,38.0,71.0,149.0,487.0499999999993,5621.0
TRAIN_SELECTED,1,pre_nonheld,12000,111.87475,10.0,30.0,56.0,118.0,384.0,4491.0
TRAIN_SELECTED,1,post_catalog,12000,3.757833333333333,0.0,0.0,0.0,0.0,0.0,2118.0
TRAIN_SELECTED,2,pre_all,12000,139.99875,13.0,39.0,71.0,147.0,492.0,4357.0
TRAIN_SELECTED,2,pre_catalog,12000,139.72558333333333,13.0,38.0,71.0,147.0,490.09999999999854,4303.0
TRAIN_SELECTED,2,pre_nonheld,12000,110.46608333333333,11.0,30.0,56.0,117.0,386.0499999999993,3418.0
TRAIN_SELECTED,2,post_catalog,12000,3.442833333333333,0.0,0.0,0.0,0.0,0.0,4551.0
