role,k,method,metric,original_user_macro,observed_cell_equal_mean,adequate_cell_equal_mean,observed_cells,adequate_cells,intended_cells
evaluation,0,ALS,mse,1.0362944552977398,0.9972116869832733,1.0555175287283753,12,8,24
evaluation,0,ALS,mae,0.7839443881454884,0.7743257552573648,0.7854680294044967,12,8,24
evaluation,0,ALS,pair_accuracy,0.5,0.5,0.5,12,8,24
evaluation,0,ALS,direct_rate,0.0,0.0,0.0,12,8,24
evaluation,0,ALS_FM,mse,1.0449688784239723,1.0136959168995088,1.0897731161091144,12,8,24
evaluation,0,ALS_FM,mae,0.7971588481940449,0.7860004623582336,0.8075171496467732,12,8,24
evaluation,0,ALS_FM,pair_accuracy,0.5616758836330796,0.5719290864129817,0.5627661988174972,12,8,24
evaluation,0,ALS_FM,direct_rate,0.0,0.0,0.0,12,8,24
evaluation,0,FM,mse,1.0449688784239723,1.0136959168995088,1.0897731161091144,12,8,24
evaluation,0,FM,mae,0.7971588481940449,0.7860004623582336,0.8075171496467732,12,8,24
evaluation,0,FM,pair_accuracy,0.5616758836330796,0.5719290864129817,0.5627661988174972,12,8,24
evaluation,0,FM,direct_rate,0.0,0.0,0.0,12,8,24
evaluation,0,GBT,mse,1.0047922206012634,0.9638216241766364,1.0318270669762,12,8,24
evaluation,0,GBT,mae,0.7629675559049832,0.7537553757892071,0.7690659012303982,12,8,24
evaluation,0,GBT,pair_accuracy,0.5743299085002536,0.5712206245455876,0.5709072473899807,12,8,24
evaluation,0,GBT,direct_rate,0.0,0.0,0.0,12,8,24
evaluation,0,RIDGE,mse,1.021275829217417,0.9887587301645765,1.0418809711974655,12,8,24
evaluation,0,RIDGE,mae,0.7802098905291233,0.7738651686992717,0.7824334163581825,12,8,24
evaluation,0,RIDGE,pair_accuracy,0.574882691092055,0.581735223922255,0.5695148505116299,12,8,24
evaluation,0,RIDGE,direct_rate,0.0,0.0,0.0,12,8,24
evaluation,1,ALS,mse,1.7144792564989275,1.923803866739024,1.9883625626399384,12,8,24
evaluation,1,ALS,mae,1.018919672164493,1.1182566382941335,1.1230230396774479,12,8,24
evaluation,1,ALS,pair_accuracy,0.5199208818792271,0.5472396055780882,0.543301301682077,12,8,24
evaluation,1,ALS,direct_rate,0.3669684399183771,0.5185391794345312,0.5061652506332781,12,8,24
evaluation,1,ALS_FM,mse,1.0747011046038502,1.0277069023999446,1.1219827206092217,12,8,24
evaluation,1,ALS_FM,mae,0.8051992470945468,0.790089652406038,0.8184747761677094,12,8,24
evaluation,1,ALS_FM,pair_accuracy,0.5679912885400314,0.584523204216168,0.5697762545956976,12,8,24
evaluation,1,ALS_FM,direct_rate,0.3669684399183771,0.5185391794345312,0.5061652506332781,12,8,24
evaluation,1,FM,mse,1.0556845355791038,1.0121025794975307,1.111009081893034,12,8,24
evaluation,1,FM,mae,0.7874796224780328,0.7673756020598189,0.7972244618812436,12,8,24
evaluation,1,FM,pair_accuracy,0.5623391099780637,0.5746167850931773,0.5615664033643413,12,8,24
evaluation,1,FM,direct_rate,0.3669684399183771,0.5185391794345312,0.5061652506332781,12,8,24
evaluation,1,GBT,mse,0.9819370311462997,0.9445534098185614,0.9983055712422296,12,8,24
evaluation,1,GBT,mae,0.7480406637144564,0.7376627406944997,0.7480173226693151,12,8,24
evaluation,1,GBT,pair_accuracy,0.5654406006916249,0.5641778960628006,0.5677968087594183,12,8,24
evaluation,1,GBT,direct_rate,0.3669684399183771,0.5185391794345312,0.5061652506332781,12,8,24
evaluation,1,RIDGE,mse,1.0156130130674297,0.9703351960239625,1.0344675466877598,12,8,24
evaluation,1,RIDGE,mae,0.7697334560442931,0.756377038358338,0.7712832076482646,12,8,24
evaluation,1,RIDGE,pair_accuracy,0.5681358888340142,0.5765193076595647,0.5675212200099939,12,8,24
evaluation,1,RIDGE,direct_rate,0.3669684399183771,0.5185391794345312,0.5061652506332781,12,8,24
evaluation,5,ALS,mse,1.1910570109209695,1.3180357519367094,1.3859620786950346,12,8,24
evaluation,5,ALS,mae,0.8397991882363813,0.8949152126950194,0.911493820634264,12,8,24
evaluation,5,ALS,pair_accuracy,0.5351394100395765,0.5666169808976025,0.5603365410052512,12,8,24
evaluation,5,ALS,direct_rate,0.5183555917267244,0.7361369596738094,0.729205439510714,12,8,24
evaluation,5,ALS_FM,mse,0.943062981928515,0.9180886755909273,0.9634276305557217,12,8,24
evaluation,5,ALS_FM,mae,0.7511605625649593,0.7410547028522715,0.7551544110694905,12,8,24
evaluation,5,ALS_FM,pair_accuracy,0.5713109060293613,0.5883972120574236,0.5773208098130248,12,8,24
evaluation,5,ALS_FM,direct_rate,0.5183555917267244,0.7361369596738094,0.729205439510714,12,8,24
evaluation,5,FM,mse,0.9581320696835026,0.9308738169715215,0.9863360820446472,12,8,24
evaluation,5,FM,mae,0.7517202106768331,0.7376805206647158,0.7565911994176369,12,8,24
evaluation,5,FM,pair_accuracy,0.5655944631277954,0.5776026650259668,0.5640749039751245,12,8,24
evaluation,5,FM,direct_rate,0.5183555917267244,0.7361369596738094,0.729205439510714,12,8,24
evaluation,5,GBT,mse,0.9384932097126644,0.9110196119523882,0.9472434632698331,12,8,24
evaluation,5,GBT,mae,0.7306684156417274,0.7224050219453102,0.7293064736128956,12,8,24
evaluation,5,GBT,pair_accuracy,0.5689860057585568,0.5673156646035248,0.56699557419379,12,8,24
evaluation,5,GBT,direct_rate,0.5183555917267244,0.7361369596738094,0.729205439510714,12,8,24
evaluation,5,RIDGE,mse,1.0146684876911716,0.9722081701039033,1.0325698906037344,12,8,24
evaluation,5,RIDGE,mae,0.7704652103597281,0.7585995642324224,0.7718361966543483,12,8,24
evaluation,5,RIDGE,pair_accuracy,0.5738250568819857,0.5811662737276966,0.5702892143552516,12,8,24
evaluation,5,RIDGE,direct_rate,0.5183555917267244,0.7361369596738094,0.729205439510714,12,8,24
evaluation,10,ALS,mse,1.0462356276756197,1.112335872734565,1.1780142708862775,12,8,24
evaluation,10,ALS,mae,0.7794353292530366,0.8039160969473172,0.8287378483735994,12,8,24
evaluation,10,ALS,pair_accuracy,0.5378670214153084,0.5670028575884297,0.5623155390901071,12,8,24
evaluation,10,ALS,direct_rate,0.5274329556418286,0.7467791822018701,0.7451687733028051,12,8,24
evaluation,10,ALS_FM,mse,0.90841049168057,0.8845994643033684,0.9322412423751751,12,8,24
evaluation,10,ALS_FM,mae,0.7352984305148567,0.7241176113335311,0.7406290203467789,12,8,24
evaluation,10,ALS_FM,pair_accuracy,0.5708985993782775,0.5843875508493235,0.573364807670326,12,8,24
evaluation,10,ALS_FM,direct_rate,0.5274329556418286,0.7467791822018701,0.7451687733028051,12,8,24
evaluation,10,FM,mse,0.9335947377917375,0.9112490335498409,0.9688739032024608,12,8,24
evaluation,10,FM,mae,0.7416078712793515,0.7295732423555928,0.7496752698018359,12,8,24
evaluation,10,FM,pair_accuracy,0.5657652969825737,0.5771710085078546,0.5623722373090981,12,8,24
evaluation,10,FM,direct_rate,0.5274329556418286,0.7467791822018701,0.7451687733028051,12,8,24
evaluation,10,GBT,mse,0.9214280205286063,0.8979072350036968,0.937900816055304,12,8,24
evaluation,10,GBT,mae,0.7225851649917324,0.7157714540388431,0.7246417589241911,12,8,24
evaluation,10,GBT,pair_accuracy,0.5683266258528554,0.5694628806748742,0.5637553336427534,12,8,24
evaluation,10,GBT,direct_rate,0.5274329556418286,0.7467791822018701,0.7451687733028051,12,8,24
evaluation,10,RIDGE,mse,1.0150807863187647,0.9737113432443607,1.03232000957618,12,8,24
evaluation,10,RIDGE,mae,0.7709042625080341,0.7594558348937778,0.771913974005578,12,8,24
evaluation,10,RIDGE,pair_accuracy,0.5736223094545453,0.5827303565693351,0.5701218166457946,12,8,24
evaluation,10,RIDGE,direct_rate,0.5274329556418286,0.7467791822018701,0.7451687733028051,12,8,24
evaluation,30,ALS,mse,0.9764708700024975,1.014781532062717,1.0774836022584782,12,8,24
evaluation,30,ALS,mae,0.7439280718705784,0.7572262482584323,0.7755525443146942,12,8,24
evaluation,30,ALS,pair_accuracy,0.5490043731288871,0.5710838177396788,0.5696739574277063,12,8,24
evaluation,30,ALS,direct_rate,0.5287082406083118,0.75,0.75,12,8,24
evaluation,30,ALS_FM,mse,0.9036383604103734,0.8726345448434351,0.9284456323195226,12,8,24
evaluation,30,ALS_FM,mae,0.7307754513633321,0.7162618987452588,0.7337953597064493,12,8,24
