k,group,method,users,mse,mae,pair_accuracy,pair_users,unique_movies,unique_rating_pairs,round_rating_instances
0,2000_2009,ALS,277,1.103581581898392,0.8100120958375775,0.5,242,2615,9165,15235
0,2000_2009,ALS_FM,277,1.0560094710953236,0.7902287609591145,0.5846446952386274,242,2615,9165,15235
0,2000_2009,FM,277,1.0560094710953236,0.7902287609591145,0.5846446952386274,242,2615,9165,15235
0,2000_2009,GBT,277,1.0621290051768235,0.7852421491660488,0.5957417435306731,242,2615,9165,15235
0,2000_2009,RIDGE,277,1.0738284385083994,0.7994031030586702,0.5959329633382096,242,2615,9165,15235
0,2010_2018,ALS,291,1.0508681469849692,0.7806103175970077,0.5,267,4291,16239,27261
0,2010_2018,ALS_FM,291,1.0780741335541733,0.8025811824763032,0.5616487009754357,267,4291,16239,27261
0,2010_2018,FM,291,1.0780741335541733,0.8025811824763032,0.5616487009754357,267,4291,16239,27261
0,2010_2018,GBT,291,1.0418989955937206,0.7726514055127475,0.5619698855206368,267,4291,16239,27261
0,2010_2018,RIDGE,291,1.0390489384699988,0.7788867662921918,0.564655751640367,267,4291,16239,27261
0,2019_PLUS,ALS,247,1.0041238149216198,0.7750701737640944,0.5,211,2440,10680,18622
0,2019_PLUS,ALS_FM,247,1.076481531601906,0.8338524083198597,0.5811242122989515,211,2440,10680,18622
0,2019_PLUS,FM,247,1.076481531601906,0.8338524083198597,0.5811242122989515,211,2440,10680,18622
0,2019_PLUS,GBT,247,0.9698703309569837,0.7530935611487694,0.5750643822863964,211,2440,10680,18622
0,2019_PLUS,RIDGE,247,0.9878445408160765,0.7706913793007516,0.5790178404503399,211,2440,10680,18622
0,ALL,ALS,300,1.03629445529774,0.7839443881454884,0.5,294,14533,48326,82095
0,ALL,ALS_FM,300,1.0449688784239723,0.7971588481940449,0.5616758836330796,294,14533,48326,82095
0,ALL,FM,300,1.0449688784239723,0.7971588481940449,0.5616758836330796,294,14533,48326,82095
0,ALL,GBT,300,1.0047922206012634,0.7629675559049833,0.5743299085002536,294,14533,48326,82095
0,ALL,RIDGE,300,1.021275829217417,0.7802098905291233,0.574882691092055,294,14533,48326,82095
0,BEFORE_2000,ALS,264,0.9102680108753791,0.7441484573789879,0.5,228,5187,12242,20977
0,BEFORE_2000,ALS_FM,264,0.9232429641463393,0.748814891334361,0.5852885279498675,228,5187,12242,20977
