family,k,method,metric,users,difference,relative_mse_change_pct,ci_low,ci_high
volume_25_to_100_mse_10_tests,10,ALS,mse,186,-0.00040287228992126834,-0.053899654984811446,-0.07776869136186293,0.10659413750257433
volume_25_to_100_mse_10_tests,10,FM,mse,186,-0.0004727835365917996,-0.06293147620840635,-0.010290187468999153,0.01092469341023018
volume_25_to_100_mse_10_tests,10,ALS_FM,mse,186,0.008015589384280887,1.1597995828185197,-0.014507088104152258,0.04506377282319709
volume_25_to_100_mse_10_tests,10,RIDGE,mse,186,0.001848717901736711,0.23820482415637909,-0.004946270475431956,0.01115099722053384
volume_25_to_100_mse_10_tests,10,GBT,mse,186,-0.010523534091829288,-1.4043931019753297,-0.056232984056761845,0.02946425922158994
model_vs_ALS_100pct_16_tests,10,FM,mse,186,0.0037485485081668636,0.5017829145430185,-0.10911233900601185,0.11718884027939125
model_vs_ALS_100pct_16_tests,10,FM,pa,170,-0.0586736833685075,,-0.11468097178047827,-0.0045200414379988115
model_vs_ALS_100pct_16_tests,10,ALS_FM,mse,186,-0.047911782613722996,-6.413499483463338,-0.13392452108312364,0.03864716668395361
model_vs_ALS_100pct_16_tests,10,ALS_FM,pa,170,-0.024850178075077584,,-0.07644966124100276,0.02373989406193414
model_vs_ALS_100pct_16_tests,10,RIDGE,mse,186,0.030907161968050496,4.137250932939283,-0.08933831508958015,0.16326193204879683
model_vs_ALS_100pct_16_tests,10,RIDGE,pa,170,-0.0545006407096606,,-0.11251350659016554,-0.0010818511046407073
model_vs_ALS_100pct_16_tests,10,GBT,mse,186,-0.008239735311138474,-1.1029758293051926,-0.12305803556780276,0.12143194266446028
model_vs_ALS_100pct_16_tests,10,GBT,pa,170,-0.048069543540745954,,-0.0958444952766042,0.0014618853527003366
volume_25_to_100_mse_10_tests,30,ALS,mse,183,-0.01204933426764216,-1.8290554176244571,-0.07721993790447272,0.08135725206974169
volume_25_to_100_mse_10_tests,30,FM,mse,183,-0.005494427871362244,-0.7721451285749994,-0.01195491556277746,0.0017128785422464235
volume_25_to_100_mse_10_tests,30,ALS_FM,mse,183,-0.0003375361495193843,-0.051821526867032126,-0.019745226569402755,0.031850868575889243
volume_25_to_100_mse_10_tests,30,RIDGE,mse,183,-0.002251428765648385,-0.28943403273906865,-0.008312393216647163,0.005851823484064711
volume_25_to_100_mse_10_tests,30,GBT,mse,183,-0.016456972632281547,-2.3125572813032136,-0.05966459688188001,0.01838254256041241
model_vs_ALS_100pct_16_tests,30,FM,mse,183,0.05936098853152861,9.178716717647282,-0.0318938631693618,0.15665155052883756
model_vs_ALS_100pct_16_tests,30,FM,pa,167,-0.06921540731808877,,-0.12503437255859753,-0.016891343814738707
model_vs_ALS_100pct_16_tests,30,ALS_FM,mse,183,0.004281700703258643,0.6620596926900639,-0.06348978897935427,0.07364432230729637
model_vs_ALS_100pct_16_tests,30,ALS_FM,pa,167,-0.03446092366079524,,-0.08549093869592495,0.013118598962900886
model_vs_ALS_100pct_16_tests,30,RIDGE,mse,183,0.12889715511489486,19.930774432468738,0.024572818085283922,0.246892369435072
model_vs_ALS_100pct_16_tests,30,RIDGE,pa,167,-0.06862038669174166,,-0.12868301095842552,-0.012374814917733644
model_vs_ALS_100pct_16_tests,30,GBT,mse,183,0.04845400223924418,7.492219577072073,-0.05134078633856454,0.16579156639928966
model_vs_ALS_100pct_16_tests,30,GBT,pa,167,-0.06509234469881221,,-0.11749760878471367,-0.01443708728115525
