cohort,activity,users,total_users,percent
validation_train_pool,0,1095,40588,2.697841726618705
validation_eligible_k0,0,89,298,29.86577181208054
evaluation_train_pool,0,729,40588,1.796097368680398
evaluation_eligible_k0,0,84,271,30.99630996309963
validation_train_pool,1_9,13,40588,0.03202917118360107
validation_eligible_k0,1_9,0,298,0.0
evaluation_train_pool,1_9,6,40588,0.01478269439243126
evaluation_eligible_k0,1_9,1,271,0.36900369003690037
validation_train_pool,10_29,6828,40588,16.822706218586774
validation_eligible_k0,10_29,4,298,1.342281879194631
evaluation_train_pool,10_29,6859,40588,16.89908347294767
evaluation_eligible_k0,10_29,3,271,1.1070110701107012
validation_train_pool,30_99,17052,40588,42.012417463289644
validation_eligible_k0,30_99,25,298,8.389261744966444
evaluation_train_pool,30_99,17212,40588,42.40662264708781
evaluation_eligible_k0,30_99,27,271,9.96309963099631
validation_train_pool,100_299,10661,40588,26.266384152951613
validation_eligible_k0,100_299,65,298,21.812080536912752
evaluation_train_pool,100_299,10758,40588,26.50537104562925
evaluation_eligible_k0,100_299,46,271,16.974169741697416
validation_train_pool,300_PLUS,4939,40588,12.168621267369666
validation_eligible_k0,300_PLUS,115,298,38.59060402684564
evaluation_train_pool,300_PLUS,5024,40588,12.378042771262441
evaluation_eligible_k0,300_PLUS,110,271,40.59040590405904
