stage,level,method,training_rows,fit_seconds,worker_seconds,cgroup_peak_bytes,total_iterations
validation,100,ALS,6169072,36.97532932500326,46.68522472499899,3108175872,
validation,100,FM,6169072,1018.4279534579982,1062.1644646799978,10372333568,
validation,100,GBT,6169072,487.1932524349977,529.5962814689992,10850926592,
validation,100,RIDGE,6169072,49.39876657500281,81.38864585400006,10377891840,150.0
validation,25,ALS,1566756,14.406294399996113,22.133261802999186,2217103360,
validation,25,FM,1566756,227.3006281179987,250.9680311340053,5705981952,
validation,25,GBT,1566756,103.53616567299468,130.72300692700082,5806858240,
validation,25,RIDGE,1566756,18.957775625996874,39.88160650200007,4342898688,150.0
validation,50,ALS,3104866,22.502194622997195,31.321842403005576,2991910912,
validation,50,FM,3104866,442.98198575699644,472.78927652400307,7858515968,
validation,50,GBT,3104866,147.81267955100338,178.1669618379965,9571627008,
validation,50,RIDGE,3104866,28.358550755998294,51.54921559699869,6656942080,150.0
evaluation,100,ALS,6261195,37.6108021589971,47.74577031000081,3086409728,
evaluation,100,FM,6261195,1047.5584543669975,1092.8883540730021,10446852096,
evaluation,100,GBT,6261195,480.2181113659972,522.3333857739999,11042349056,
evaluation,100,RIDGE,6261195,50.14282476200606,80.34875135900074,10537635840,150.0
evaluation,25,ALS,1592028,16.762605756004632,25.18635546400037,2954465280,
evaluation,25,FM,1592028,261.65171188100067,286.4972526269994,6142517248,
evaluation,25,GBT,1592028,85.09559536400047,110.34325970900682,5791666176,
evaluation,25,RIDGE,1592028,21.567993305994605,44.07777230600186,4801515520,150.0
evaluation,50,ALS,3154140,22.69427380400157,31.417203753997455,2075394048,
evaluation,50,FM,3154140,479.97757869199995,509.6079622420002,8206524416,
evaluation,50,GBT,3154140,152.23883197399846,183.35227323300205,9315725312,
evaluation,50,RIDGE,3154140,28.20999671699974,51.63384950400359,6822711296,150.0
