level,method,k,activity,support,metric,users,observed_pairs_all_cell_users,unique_movies,comparable_rating_pairs,mean,status
25,ALS,0,0,0,mse,38,207,173,2304,1.9481532164329654,DESCRIPTIVE
25,ALS,0,0,0,pa,17,207,173,2304,0.5,DESCRIPTIVE_SMALL_N
25,ALS,0,0,1_9,mse,34,487,446,35482,1.4012232288410253,DESCRIPTIVE
25,ALS,0,0,1_9,pa,14,487,446,35482,0.5,DESCRIPTIVE_SMALL_N
25,ALS,0,0,10_49,mse,47,832,638,51867,1.1160522330686218,DESCRIPTIVE
25,ALS,0,0,10_49,pa,32,832,638,51867,0.5,DESCRIPTIVE
25,ALS,0,0,50_PLUS,mse,84,11603,3293,2564251,1.0642554787433889,DESCRIPTIVE
25,ALS,0,0,50_PLUS,pa,84,11603,3293,2564251,0.5,DESCRIPTIVE
25,ALS,0,1_9,0,mse,0,0,0,0,,NO_DATA
25,ALS,0,1_9,0,pa,0,0,0,0,,NO_DATA
25,ALS,0,1_9,1_9,mse,0,0,0,0,,NO_DATA
25,ALS,0,1_9,1_9,pa,0,0,0,0,,NO_DATA
25,ALS,0,1_9,10_49,mse,0,0,0,0,,NO_DATA
25,ALS,0,1_9,10_49,pa,0,0,0,0,,NO_DATA
25,ALS,0,1_9,50_PLUS,mse,1,143,143,8012,0.9259770093180203,DESCRIPTIVE_SMALL_N
25,ALS,0,1_9,50_PLUS,pa,1,143,143,8012,0.5,DESCRIPTIVE_SMALL_N
25,ALS,0,10_29,0,mse,0,0,0,0,,NO_DATA
25,ALS,0,10_29,0,pa,0,0,0,0,,NO_DATA
25,ALS,0,10_29,1_9,mse,0,0,0,0,,NO_DATA
25,ALS,0,10_29,1_9,pa,0,0,0,0,,NO_DATA
25,ALS,0,10_29,10_49,mse,0,0,0,0,,NO_DATA
25,ALS,0,10_29,10_49,pa,0,0,0,0,,NO_DATA
25,ALS,0,10_29,50_PLUS,mse,3,66,62,761,0.4913283266443564,DESCRIPTIVE_SMALL_N
25,ALS,0,10_29,50_PLUS,pa,3,66,62,761,0.5,DESCRIPTIVE_SMALL_N
25,ALS,0,30_99,0,mse,9,30,25,77,0.9731815542130895,DESCRIPTIVE_SMALL_N
25,ALS,0,30_99,0,pa,5,30,25,77,0.5,DESCRIPTIVE_SMALL_N
25,ALS,0,30_99,1_9,mse,7,14,14,10,0.8271416188866277,DESCRIPTIVE_SMALL_N
25,ALS,0,30_99,1_9,pa,3,14,14,10,0.5,DESCRIPTIVE_SMALL_N
25,ALS,0,30_99,10_49,mse,12,35,33,98,0.7154298855871698,DESCRIPTIVE_SMALL_N
25,ALS,0,30_99,10_49,pa,6,35,33,98,0.5,DESCRIPTIVE_SMALL_N
25,ALS,0,30_99,50_PLUS,mse,24,457,365,8907,0.9790084244989806,DESCRIPTIVE_SMALL_N
25,ALS,0,30_99,50_PLUS,pa,22,457,365,8907,0.5,DESCRIPTIVE_SMALL_N
25,ALS,0,100_299,0,mse,18,66,59,271,0.9836650585495037,DESCRIPTIVE_SMALL_N
25,ALS,0,100_299,0,pa,8,66,59,271,0.5,DESCRIPTIVE_SMALL_N
25,ALS,0,100_299,1_9,mse,15,71,67,275,1.5370492207695627,DESCRIPTIVE_SMALL_N
25,ALS,0,100_299,1_9,pa,7,71,67,275,0.5,DESCRIPTIVE_SMALL_N
25,ALS,0,100_299,10_49,mse,20,92,75,299,0.7565844015024765,DESCRIPTIVE_SMALL_N
25,ALS,0,100_299,10_49,pa,15,92,75,299,0.5,DESCRIPTIVE_SMALL_N
25,ALS,0,100_299,50_PLUS,mse,46,697,566,18807,0.784740003913146,DESCRIPTIVE
25,ALS,0,100_299,50_PLUS,pa,39,697,566,18807,0.5,DESCRIPTIVE
25,ALS,0,300_PLUS,0,mse,68,509,396,5206,0.8602075237819818,DESCRIPTIVE
25,ALS,0,300_PLUS,0,pa,48,509,396,5206,0.5,DESCRIPTIVE
25,ALS,0,300_PLUS,1_9,mse,66,655,547,13602,0.9304778569109667,DESCRIPTIVE
25,ALS,0,300_PLUS,1_9,pa,43,655,547,13602,0.5,DESCRIPTIVE
25,ALS,0,300_PLUS,10_49,mse,85,743,513,6510,0.9214784846169022,DESCRIPTIVE
25,ALS,0,300_PLUS,10_49,pa,69,743,513,6510,0.5,DESCRIPTIVE
25,ALS,0,300_PLUS,50_PLUS,mse,107,2253,1638,45123,0.7959270788427578,DESCRIPTIVE
25,ALS,0,300_PLUS,50_PLUS,pa,92,2253,1638,45123,0.5,DESCRIPTIVE
25,ALS,1,0,0,mse,0,0,0,0,,NO_DATA
25,ALS,1,0,0,pa,0,0,0,0,,NO_DATA
25,ALS,1,0,1_9,mse,0,0,0,0,,NO_DATA
25,ALS,1,0,1_9,pa,0,0,0,0,,NO_DATA
25,ALS,1,0,10_49,mse,0,0,0,0,,NO_DATA
25,ALS,1,0,10_49,pa,0,0,0,0,,NO_DATA
25,ALS,1,0,50_PLUS,mse,0,0,0,0,,NO_DATA
25,ALS,1,0,50_PLUS,pa,0,0,0,0,,NO_DATA
25,ALS,1,1_9,0,mse,0,0,0,0,,NO_DATA
25,ALS,1,1_9,0,pa,0,0,0,0,,NO_DATA
25,ALS,1,1_9,1_9,mse,0,0,0,0,,NO_DATA
25,ALS,1,1_9,1_9,pa,0,0,0,0,,NO_DATA
25,ALS,1,1_9,10_49,mse,0,0,0,0,,NO_DATA
25,ALS,1,1_9,10_49,pa,0,0,0,0,,NO_DATA
25,ALS,1,1_9,50_PLUS,mse,1,143,143,8012,1.3028228864022962,DESCRIPTIVE_SMALL_N
25,ALS,1,1_9,50_PLUS,pa,1,143,143,8012,0.6052171742386421,DESCRIPTIVE_SMALL_N
25,ALS,1,10_29,0,mse,0,0,0,0,,NO_DATA
25,ALS,1,10_29,0,pa,0,0,0,0,,NO_DATA
25,ALS,1,10_29,1_9,mse,0,0,0,0,,NO_DATA
25,ALS,1,10_29,1_9,pa,0,0,0,0,,NO_DATA
25,ALS,1,10_29,10_49,mse,0,0,0,0,,NO_DATA
