level,cohort,method,k,support,metric,users,observed_pairs_all_group_users,mean,status
100,eligible_k,ALS,0,0,mse,133,812,1.1940226582737894,DESCRIPTIVE
100,eligible_k,ALS,0,0,pa,78,812,0.5,DESCRIPTIVE
100,eligible_k,ALS,0,10_49,mse,164,1702,0.9417609547950981,DESCRIPTIVE
100,eligible_k,ALS,0,10_49,pa,122,1702,0.5,DESCRIPTIVE
100,eligible_k,ALS,0,1_9,mse,122,1227,1.129707836492334,DESCRIPTIVE
100,eligible_k,ALS,0,1_9,pa,67,1227,0.5,DESCRIPTIVE
100,eligible_k,ALS,0,50_PLUS,mse,265,15219,0.8940380324379865,DESCRIPTIVE
100,eligible_k,ALS,0,50_PLUS,pa,241,15219,0.5,DESCRIPTIVE
100,eligible_k,ALS,1,0,mse,95,605,0.8046464035164845,DESCRIPTIVE
100,eligible_k,ALS,1,0,pa,61,605,0.5,DESCRIPTIVE
100,eligible_k,ALS,1,10_49,mse,117,870,1.6338655777690143,DESCRIPTIVE
100,eligible_k,ALS,1,10_49,pa,90,870,0.5763314386428018,DESCRIPTIVE
100,eligible_k,ALS,1,1_9,mse,88,740,2.231194638402661,DESCRIPTIVE
100,eligible_k,ALS,1,1_9,pa,53,740,0.5537609106592969,DESCRIPTIVE
100,eligible_k,ALS,1,50_PLUS,mse,181,3616,1.6086445912007243,DESCRIPTIVE
100,eligible_k,ALS,1,50_PLUS,pa,157,3616,0.5877248292927038,DESCRIPTIVE
100,eligible_k,ALS,5,0,mse,95,605,0.7541570647467156,DESCRIPTIVE
100,eligible_k,ALS,5,0,pa,61,605,0.5,DESCRIPTIVE
100,eligible_k,ALS,5,10_49,mse,117,870,0.7999959108270843,DESCRIPTIVE
100,eligible_k,ALS,5,10_49,pa,90,870,0.6152191213606142,DESCRIPTIVE
100,eligible_k,ALS,5,1_9,mse,88,740,1.5403496944156012,DESCRIPTIVE
100,eligible_k,ALS,5,1_9,pa,53,740,0.5732606810085795,DESCRIPTIVE
100,eligible_k,ALS,5,50_PLUS,mse,180,3473,0.777984048012754,DESCRIPTIVE
100,eligible_k,ALS,5,50_PLUS,pa,156,3473,0.6186301548721735,DESCRIPTIVE
100,eligible_k,ALS,10,0,mse,95,605,0.7297213971036542,DESCRIPTIVE
100,eligible_k,ALS,10,0,pa,61,605,0.5,DESCRIPTIVE
100,eligible_k,ALS,10,10_49,mse,117,870,0.6522299402796209,DESCRIPTIVE
100,eligible_k,ALS,10,10_49,pa,90,870,0.6426408474086286,DESCRIPTIVE
100,eligible_k,ALS,10,1_9,mse,88,740,1.280794496281432,DESCRIPTIVE
100,eligible_k,ALS,10,1_9,pa,53,740,0.5852445224971846,DESCRIPTIVE
100,eligible_k,ALS,10,50_PLUS,mse,180,3473,0.6426891499440259,DESCRIPTIVE
100,eligible_k,ALS,10,50_PLUS,pa,156,3473,0.6365115122385334,DESCRIPTIVE
100,eligible_k,ALS,30,0,mse,95,605,0.7355964354287116,DESCRIPTIVE
100,eligible_k,ALS,30,0,pa,61,605,0.5,DESCRIPTIVE
100,eligible_k,ALS,30,10_49,mse,117,870,0.5883270705589534,DESCRIPTIVE
100,eligible_k,ALS,30,10_49,pa,90,870,0.6536051604398601,DESCRIPTIVE
100,eligible_k,ALS,30,1_9,mse,88,740,1.1837607229157834,DESCRIPTIVE
100,eligible_k,ALS,30,1_9,pa,53,740,0.5704539626351802,DESCRIPTIVE
100,eligible_k,ALS,30,50_PLUS,mse,177,3407,0.5390673867159667,DESCRIPTIVE
100,eligible_k,ALS,30,50_PLUS,pa,153,3407,0.6499743884386074,DESCRIPTIVE
100,eligible_k,ALS_FM,0,0,mse,133,812,1.0889815414144106,DESCRIPTIVE
100,eligible_k,ALS_FM,0,0,pa,78,812,0.605163983289202,DESCRIPTIVE
100,eligible_k,ALS_FM,0,10_49,mse,164,1702,1.008547668909551,DESCRIPTIVE
100,eligible_k,ALS_FM,0,10_49,pa,122,1702,0.5596206730192514,DESCRIPTIVE
100,eligible_k,ALS_FM,0,1_9,mse,122,1227,1.0925595402650983,DESCRIPTIVE
100,eligible_k,ALS_FM,0,1_9,pa,67,1227,0.5707219973433826,DESCRIPTIVE
100,eligible_k,ALS_FM,0,50_PLUS,mse,265,15219,0.854055902489888,DESCRIPTIVE
100,eligible_k,ALS_FM,0,50_PLUS,pa,241,15219,0.5708696210602587,DESCRIPTIVE
100,eligible_k,ALS_FM,1,0,mse,95,605,0.7699106223655515,DESCRIPTIVE
100,eligible_k,ALS_FM,1,0,pa,61,605,0.5777697762065739,DESCRIPTIVE
100,eligible_k,ALS_FM,1,10_49,mse,117,870,0.8781254368159634,DESCRIPTIVE
100,eligible_k,ALS_FM,1,10_49,pa,90,870,0.5861990475535285,DESCRIPTIVE
100,eligible_k,ALS_FM,1,1_9,mse,88,740,1.0133991670756755,DESCRIPTIVE
100,eligible_k,ALS_FM,1,1_9,pa,53,740,0.5616643572001762,DESCRIPTIVE
100,eligible_k,ALS_FM,1,50_PLUS,mse,181,3616,0.8120853710264042,DESCRIPTIVE
