stage,level,k,episode_users,episodes,target_rows,total_ratings,target_share
validation,25,0,9877,11553,1279166,1566756,0.816442381583348
validation,25,1,946,1711,75768,1566756,0.04835979565420525
validation,25,5,950,1703,67329,1566756,0.042973507042577144
validation,25,10,953,1738,72578,1566756,0.04632374153984411
validation,25,30,814,1542,71915,1566756,0.04590057418002548
validation,50,0,19741,23115,2563649,3104866,0.8256874853858427
validation,50,1,1912,3411,143886,3104866,0.04634209656713043
validation,50,5,1866,3266,124636,3104866,0.040142151062235856
validation,50,10,1882,3376,141289,3104866,0.0455056675553792
validation,50,30,1675,3086,131406,3104866,0.042322599429411766
validation,100,0,39493,46321,5082626,6169072,0.8238882606654615
validation,100,1,3915,6976,293289,6169072,0.04754183449309718
validation,100,5,3763,6755,267435,6169072,0.04335092863237777
validation,100,10,3771,6798,270991,6169072,0.04392735244458162
validation,100,30,3464,6232,254731,6169072,0.04129162376448192
evaluation,25,0,9969,11687,1298429,1592028,0.8155817611248043
evaluation,25,1,974,1762,76689,1592028,0.04817063518983335
evaluation,25,5,969,1742,69066,1592028,0.04338240282206092
evaluation,25,10,973,1785,74464,1592028,0.0467730467052087
evaluation,25,30,835,1584,73380,1592028,0.046092154158092695
evaluation,50,0,19927,23391,2601860,3154140,0.8249031431705631
evaluation,50,1,1967,3518,146101,3154140,0.04632039161229368
evaluation,50,5,1902,3347,127815,3154140,0.040522931765869616
evaluation,50,10,1921,3476,144427,3154140,0.045789660573088066
evaluation,50,30,1709,3161,133937,3154140,0.042463872878185496
evaluation,100,0,39859,46881,5151574,6261195,0.8227780799032772
evaluation,100,1,4014,7177,298326,6261195,0.04764681502492735
evaluation,100,5,3851,6918,273648,6261195,0.0437053948966611
evaluation,100,10,3855,6996,277079,6261195,0.04425337335764179
evaluation,100,30,3537,6397,260568,6261195,0.04161633681749251
