dimension,group,movies,mapped,en_plot,ko_plot,any_plot,both_plots
release_decade,1870,1,1,0,0,0,0
release_decade,1880,5,4,0,0,0,0
release_decade,1890,165,125,37,1,37,1
release_decade,1900,287,226,99,2,99,2
release_decade,1910,376,359,265,24,266,23
release_decade,1920,718,695,547,36,547,36
release_decade,1930,2574,2514,2226,74,2228,72
release_decade,1940,2749,2708,2394,103,2397,100
release_decade,1950,3587,3517,3073,175,3074,174
release_decade,1960,4294,4124,3168,191,3171,188
release_decade,1970,5884,5538,4050,251,4052,249
release_decade,1980,6249,5809,4343,467,4348,462
release_decade,1990,8035,7351,5384,839,5393,830
release_decade,2000,15034,13334,9059,1584,9111,1532
release_decade,2010,27523,22399,12810,2227,12948,2089
release_decade,2020,8036,6327,3647,560,3682,525
original_language,ab,1,1,0,0,0,0
original_language,af,12,12,5,0,5,0
original_language,ak,3,2,2,0,2,0
original_language,am,7,7,5,0,5,0
original_language,ar,213,197,114,2,114,2
original_language,as,2,2,2,0,2,0
original_language,ay,2,2,2,0,2,0
original_language,az,14,13,4,0,4,0
original_language,bg,33,32,15,0,15,0
original_language,bm,4,4,2,1,2,1
original_language,bn,103,94,81,1,81,1
original_language,bo,7,7,5,1,5,1
original_language,bs,19,18,10,1,10,1
original_language,ca,46,46,18,2,19,1
original_language,ce,1,1,0,0,0,0
original_language,cn,748,691,560,68,564,64
original_language,cr,1,1,0,0,0,0
original_language,cs,360,336,159,2,160,1
original_language,cy,2,2,2,0,2,0
original_language,da,383,377,162,17,164,15
original_language,de,2177,2033,861,51,864,48
original_language,dz,4,4,3,1,3,1
original_language,el,275,207,100,3,100,3
original_language,en,53670,45341,33595,4876,33666,4805
original_language,eo,2,2,1,0,1,0
original_language,es,2793,2508,1470,69,1477,62
original_language,et,98,87,24,0,24,0
original_language,eu,18,16,8,0,8,0
original_language,fa,283,254,147,5,147,5
original_language,ff,3,3,3,0,3,0
original_language,fi,655,625,172,6,174,4
original_language,fo,3,3,1,0,1,0
original_language,fr,5110,4840,2681,252,2707,226
original_language,ga,4,3,3,0,3,0
original_language,gl,8,8,4,0,4,0
original_language,gu,11,11,10,0,10,0
original_language,he,224,217,139,2,139,2
original_language,hi,1219,1214,1169,19,1169,19
original_language,hr,54,47,24,0,24,0
original_language,ht,2,2,0,0,0,0
original_language,hu,233,216,77,6,78,5
original_language,hy,22,20,9,0,9,0
original_language,id,89,87,58,1,58,1
original_language,ig,2,2,2,0,2,0
original_language,ik,1,1,1,0,1,0
original_language,is,79,69,37,3,37,3
original_language,it,3257,3184,1994,77,1999,72
original_language,iu,4,4,3,0,3,0
original_language,ja,2944,2590,1602,341,1662,281
original_language,jv,1,1,1,0,1,0
original_language,ka,55,51,32,1,32,1
original_language,kk,22,19,5,0,5,0
original_language,kl,1,1,0,0,0,0
original_language,km,5,5,5,0,5,0
original_language,kn,29,29,27,0,27,0
original_language,ko,1047,1027,848,529,898,479
original_language,ks,2,2,0,0,0,0
original_language,ku,16,15,8,0,8,0
original_language,ky,8,7,4,0,4,0
